"","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
"205",370.059997558594,377.459991455078,370,374.720001220703,2193015,366.301147460938
"206",375,389.399993896484,372.309997558594,386.200012207031,2507335,377.523193359375
"207",386,399,385.200012207031,391.649993896484,4039055,382.850769042969
"208",400.190002441406,412,389,391.760009765625,5874330,382.958251953125
"209",388.600006103516,400.5,385.480010986328,398.179992675781,1660495,389.234039306641
"210",400.799987792969,403.739990234375,398.070007324219,401.260009765625,1498515,392.244842529297
"211",401.989990234375,404,398.25,400.559997558594,194315,391.560546875
"212",403.600006103516,418.480010986328,398.230010986328,416.299987792969,3324150,406.946929931641
"213",417.959991455078,423.200012207031,403.880004882812,406.5,1670330,397.367095947266
"214",406.279998779297,415.200012207031,403.410003662109,414.309997558594,1983955,405.001617431641
"215",415.25,417.5,406.989990234375,408.820007324219,1199795,399.634979248047
"216",411.200012207031,413.200012207031,405.100006103516,411.049987792969,969545,401.814880371094
"217",413.380004882812,415.660003662109,404.410003662109,408.049987792969,1027620,398.88232421875
"218",406,421.950012207031,402.290008544922,418.820007324219,2585940,409.410369873047
"219",418.600006103516,428,413.690002441406,416.299987792969,3327545,406.946929931641
"220",416.980010986328,426.450012207031,414.309997558594,422.989990234375,1734830,413.486602783203
"221",425,426.600006103516,413.450012207031,415.700012207031,1196665,406.360412597656
"222",420.549987792969,422,410.619995117188,414.399993896484,1107180,405.089599609375
"223",415.670013427734,423.589996337891,412.209991455078,422.510009765625,1516435,413.017425537109
"224",424,425.760009765625,416.220001220703,422.140014648438,1030335,412.655731201172
"225",422.399993896484,433,420.010009765625,430.459991455078,1965285,420.788787841797
"226",432.070007324219,435.790008544922,428.440002441406,432.890014648438,1470385,423.164215087891
"227",433,434.799987792969,426.609985351562,428.859985351562,853515,419.224731445312
"228",428.890014648438,439.399993896484,426.239990234375,433.940002441406,2071755,424.190612792969
"229",432.579986572266,432.600006103516,421.359985351562,422.890014648438,1363870,413.388916015625
"230",422.200012207031,426.589996337891,415.149993896484,420.040008544922,1575585,410.602935791016
"231",422,426.799987792969,416.459991455078,423.179992675781,1320430,413.672302246094
"232",419.399993896484,419.399993896484,406.989990234375,411.329986572266,2114375,402.088592529297
"233",407,428.290008544922,407,426.299987792969,1459715,416.722198486328
"234",426.200012207031,433.549987792969,422.179992675781,431.480010986328,1378580,421.785919189453
"235",431.399993896484,439,421.269989013672,436.989990234375,1720660,427.172058105469
"236",437.200012207031,444.510009765625,434.260009765625,439.690002441406,2750550,429.811462402344
"237",438.010009765625,444.959991455078,438.010009765625,441.929992675781,1097325,432.001037597656
"238",439.980010986328,446,437.119995117188,444.070007324219,1200530,434.093048095703
"239",444.070007324219,451,444.070007324219,448.459991455078,1330365,438.384429931641
"240",447,455.390014648438,444.459991455078,451.829986572266,1561905,441.678588867188
"241",449.200012207031,453.329986572266,428,429.869995117188,3159700,420.212097167969
"242",430.760009765625,432.359985351562,392,394.470001220703,12186865,385.607421875
"243",393.790008544922,397.799987792969,381.200012207031,393.459991455078,7569995,384.620056152344
"244",395.109985351562,402.5,395.109985351562,400.130004882812,4628985,391.140258789062
"245",401.799987792969,407,398.690002441406,400.339996337891,2875710,391.345520019531
"246",404.950012207031,404.950012207031,397.220001220703,399.929992675781,1468425,390.944702148438
"247",400,401.589996337891,389.600006103516,397.799987792969,4270610,388.862548828125
"248",397.420013427734,402.630004882812,392.010009765625,398.429992675781,2339435,389.478424072266
"249",397,402.399993896484,393,395.230010986328,1603875,386.350311279297
"250",396.100006103516,400.679992675781,389.549987792969,398.630004882812,2042705,389.673950195312
"251",401.940002441406,401.940002441406,395.309997558594,399.570007324219,1622010,390.592834472656
"252",400.950012207031,406.359985351562,397.980010986328,405.059997558594,2666585,395.959442138672
"253",405.399993896484,411.549987792969,405.049987792969,407.350006103516,2222815,398.197998046875
"254",408.200012207031,411,403.200012207031,410,1901925,400.788482666016
"255",410,413.959991455078,407.660003662109,409.279998779297,1734845,400.084625244141
"256",410.019989013672,410.850006103516,400.299987792969,405.290008544922,1262745,396.184326171875
"257",405.290008544922,415.760009765625,405.290008544922,414.299987792969,1685830,404.991882324219
"258",414.739990234375,417.940002441406,406.019989013672,408.239990234375,1426305,399.068023681641
"259",410.700012207031,412.200012207031,406.5,410.179992675781,1194125,400.964416503906
"260",410.399993896484,416.559997558594,408.980010986328,414.230010986328,1164140,404.923492431641
"261",416.399993896484,416.799987792969,404.239990234375,407.170013427734,757155,398.022094726562
"262",405.5,416.200012207031,402.010009765625,414.640014648438,1261295,405.324279785156
"263",414.010009765625,417.970001220703,410.209991455078,411.910003662109,1016385,402.655548095703
"264",412.799987792969,421.739990234375,407.260009765625,418.980010986328,1004735,409.566741943359
"265",420.940002441406,427.600006103516,411.269989013672,415.269989013672,1899620,405.940063476562
"266",414.399993896484,414.399993896484,395.209991455078,401.609985351562,1396920,392.586975097656
"267",402.510009765625,407.600006103516,397.399993896484,405.170013427734,1171560,396.066955566406
"268",404.019989013672,408.440002441406,401.470001220703,407.040008544922,719990,397.89501953125
"269",407.119995117188,409,399.679992675781,402.269989013672,1743590,393.232147216797
"270",403.399993896484,403.399993896484,392.109985351562,393.290008544922,1678700,384.453918457031
"271",391.679992675781,397.799987792969,389.519989013672,393.609985351562,2218100,384.766693115234
"272",406,408.559997558594,391.640014648438,404.660003662109,8313810,395.568420410156
"273",407.179992675781,448,407.179992675781,444.649993896484,8450785,434.659973144531
"274",447,451.049987792969,440.420013427734,445.200012207031,2795180,435.197692871094
"275",442,449,441,443.649993896484,1384255,433.682373046875
"276",443.649993896484,445.799987792969,431.339996337891,441.809997558594,1541070,433.055145263672
"277",444.779998779297,447.170013427734,437.329986572266,439.299987792969,1037395,430.594879150391
"278",439,456.399993896484,433.200012207031,449.239990234375,2667650,440.337921142578
"279",448.220001220703,449.239990234375,433.100006103516,440.279998779297,1869070,431.555511474609
"280",439.200012207031,440,432.600006103516,436.630004882812,1070110,427.977813720703
"281",436.600006103516,444.709991455078,434.399993896484,436.170013427734,1286440,427.526916503906
"282",436.059997558594,443.019989013672,436.059997558594,441.720001220703,1022715,432.966918945312
"283",441.399993896484,447.200012207031,438.440002441406,441.070007324219,1249650,432.329864501953
"284",439,441.720001220703,435.339996337891,440.029998779297,1324240,431.310424804688
"285",438.399993896484,450.799987792969,437.769989013672,447.519989013672,2710690,438.652008056641
"286",445,446.299987792969,441.049987792969,443.709991455078,1571595,434.917510986328
"287",445.899993896484,452.480010986328,444.600006103516,450.570007324219,2445650,441.641571044922
"288",447.100006103516,461.600006103516,447.100006103516,459.029998779297,2921595,449.933929443359
"289",460,467.779998779297,454.100006103516,457.160003662109,2174925,448.101013183594
"290",456.200012207031,464.820007324219,456.200012207031,463.739990234375,1540175,454.550598144531
"291",463.799987792969,475.059997558594,462.059997558594,472.160003662109,1970940,462.803741455078
"292",472,475.600006103516,468.420013427734,470.130004882812,957670,460.814056396484
"293",468.799987792969,472.839996337891,466.359985351562,470.730010986328,894450,461.402069091797
"294",469,476.940002441406,468.279998779297,475.089996337891,910040,465.675689697266
"295",475.410003662109,481.109985351562,471.609985351562,474.820007324219,901745,465.411041259766
"296",469.200012207031,485,469.200012207031,480.670013427734,918085,471.145172119141
"297",483.549987792969,486,470.5,472.25,1615070,462.891967773438
"298",473.989990234375,487,471.720001220703,483.619995117188,4452460,474.036682128906
"299",486.640014648438,489.899993896484,479.600006103516,481.549987792969,1275885,472.007690429688
"300",482.200012207031,483.600006103516,477.279998779297,479.279998779297,1063220,469.782623291016
"301",481.179992675781,483,474.970001220703,480.380004882812,1250950,470.86083984375
"302",480.959991455078,493.170013427734,479,490.899993896484,2491155,481.172393798828
"303",490,495.600006103516,484.029998779297,486.420013427734,2584945,476.781158447266
"304",486.420013427734,495.600006103516,481.200012207031,493.029998779297,1370330,483.260223388672
"305",493,493,483.399993896484,486.989990234375,1556865,477.339935302734
"306",489.700012207031,492.739990234375,476.880004882812,490.220001220703,755325,480.505859375
"307",460,486.799987792969,434.519989013672,472.119995117188,12060630,462.764587402344
"308",470.040008544922,479.339996337891,467.760009765625,477.829986572266,2523550,468.361358642578
"309",477.980010986328,483.790008544922,474.399993896484,476.880004882812,1414975,467.430206298828
"310",486,499.239990234375,481.619995117188,496.980010986328,5294490,487.131927490234
"311",500,500,490.399993896484,498.220001220703,2300045,488.347290039062
"312",497.100006103516,502.549987792969,493.109985351562,495.649993896484,1935885,485.828277587891
"313",495.010009765625,495.329986572266,490.019989013672,492.970001220703,914070,483.201385498047
