"","ASTRAL.NS.Open","ASTRAL.NS.High","ASTRAL.NS.Low","ASTRAL.NS.Close","ASTRAL.NS.Volume","ASTRAL.NS.Adjusted"
"514",663.272033691406,682.678283691406,657.478271484375,666.984558105469,117553,661.732177734375
"515",673.875183105469,680.2314453125,660.937683105469,671.9345703125,78218,666.643188476562
"516",680.428283691406,680.428283691406,666.562683105469,673.593933105469,34890,668.289489746094
"517",675.000183105469,680.737670898438,669.375183105469,674.8876953125,147459,669.573181152344
"518",677.250183105469,679.050170898438,665.437683105469,674.015808105469,117407,668.7080078125
"519",675.562683105469,691.875183105469,675.000183105469,685.068908691406,189029,679.674072265625
"520",699.187683105469,711.562683105469,675.5908203125,681.018920898438,272069,675.655944824219
"521",686.193908691406,686.193908691406,664.312683105469,674.100158691406,115656,668.791687011719
"522",671.203308105469,681.131408691406,666.562683105469,673.678283691406,118321,668.373168945312
"523",675.000183105469,682.959533691406,666.562683105469,673.987670898438,181166,669.015258789062
"524",671.625183105469,673.2001953125,654.300170898438,663.665771484375,139283,658.769653320312
"525",662.3720703125,674.437683105469,660.178283691406,672.553283691406,119583,667.591552734375
"526",673.959533691406,679.500183105469,666.8720703125,672.103271484375,135790,667.144836425781
"527",672.103271484375,676.097045898438,663.750183105469,673.987670898438,127925,669.015258789062
"528",669.375183105469,673.734558105469,663.7783203125,665.634521484375,123205,660.723876953125
"529",663.750183105469,671.034545898438,658.772033691406,661.1064453125,127676,656.229125976562
"530",661.500183105469,664.256408691406,654.243896484375,657.168884277344,126881,652.320617675781
"531",651.825134277344,651.825134277344,632.812683105469,643.725158691406,300159,638.975952148438
"532",644.062683105469,664.875183105469,638.465759277344,646.931396484375,130556,642.158630371094
"533",647.156433105469,658.125183105469,632.025146484375,645.412658691406,61777,640.651184082031
"534",657.562683105469,657.562683105469,624.937683105469,632.447021484375,50616,627.781127929688
"535",638.100158691406,638.100158691406,625.500183105469,629.662658691406,78325,625.017395019531
"536",596.306396484375,635.062683105469,596.306396484375,630.337646484375,72325,625.687316894531
"537",621.562683105469,632.812683105469,613.125183105469,630.253295898438,73777,625.603637695312
"538",630.281433105469,649.687683105469,627.187683105469,646.565795898438,233111,641.795776367188
"539",624.431396484375,630.000183105469,556.875122070312,578.222045898438,206471,573.956176757812
"540",520.368896484375,635.090759277344,479.418853759766,615.768920898438,266584,611.22607421875
"541",610.312622070312,615.937683105469,567.618896484375,588.431396484375,193919,584.090270996094
"542",579.909545898438,596.222045898438,551.306396484375,561.122009277344,208499,556.982299804688
"543",573.159545898438,573.750122070312,523.687622070312,560.418884277344,149095,556.284362792969
"544",534.375122070312,568.068908691406,503.409484863281,523.378234863281,407340,519.517028808594
"545",525.375122070312,562.331359863281,506.812622070312,524.278259277344,110641,520.410461425781
"546",502.368865966797,502.453247070312,419.42822265625,423.984466552734,313431,420.856506347656
"547",449.437622070312,457.734497070312,426.290740966797,451.040740966797,164664,447.713165283203
"548",437.343872070312,473.765747070312,428.793853759766,468.140747070312,139240,464.687103271484
"549",483.750122070312,548.437622070312,469.406372070312,536.287658691406,176213,532.331176757812
"550",561.937622070312,568.546997070312,504.562622070312,511.031372070312,121713,507.261260986328
"551",492.187622070312,528.750122070312,483.834503173828,494.437622070312,100684,490.789855957031
"552",510.693878173828,542.250122070312,496.153259277344,526.978271484375,107363,523.090454101562
"553",526.978271484375,543.262634277344,518.062622070312,535.275146484375,62015,531.326049804688
"554",537.525146484375,573.750122070312,514.096984863281,548.662658691406,171418,544.614807128906
"555",567.562622070312,567.562622070312,540.281372070312,547.790771484375,105189,543.749450683594
"556",541.125122070312,554.625122070312,535.500122070312,537.440734863281,105265,533.475769042969
"557",537.750122070312,552.881408691406,537.750122070312,545.822021484375,50732,541.795227050781
"558",545.625122070312,545.822021484375,503.943878173828,517.837646484375,341962,514.017333984375
"559",517.837646484375,535.500122070312,507.965759277344,511.397003173828,154757,507.624145507812
"560",523.125122070312,523.125122070312,495.028259277344,504.618865966797,466814,500.896026611328
"561",514.687622070312,519.750122070312,504.281372070312,506.446990966797,194533,502.710693359375
"562",517.387634277344,517.500122070312,500.062622070312,505.181365966797,263365,501.454406738281
"563",500.625122070312,505.181365966797,480.937622070312,484.312622070312,320426,480.739654541016
"564",494.437622070312,496.096984863281,478.125122070312,487.096984863281,203262,483.503387451172
"565",492.187622070312,511.818878173828,479.840728759766,507.262634277344,221619,503.520294189453
"566",507.262634277344,510.750122070312,493.903259277344,504.590759277344,92183,500.868072509766
"567",516.937622070312,533.812622070312,503.437622070312,530.522033691406,201674,526.608215332031
