"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"354",553.5,555,545.650024414062,554.049987792969,3136202,468.641479492188
"355",551.5,553.049987792969,546.5,550.450012207031,3951850,465.596435546875
"356",546.549987792969,551.174987792969,542,543.5,3467872,459.717742919922
"357",542,543.849975585938,535.75,537.450012207031,2487348,454.600372314453
"358",537.450012207031,547.075012207031,537.325012207031,544.799987792969,1412162,460.817260742188
"359",545.049987792969,548.299987792969,538.900024414062,542.049987792969,2437878,458.491271972656
"360",535,545.5,532.825012207031,543.674987792969,1895088,459.865661621094
"361",546.25,546.325012207031,535.575012207031,538.125,4695110,455.171295166016
"362",539.5,542.025024414062,534.049987792969,538.950012207031,1350104,455.869232177734
"363",538.950012207031,540.549987792969,530.075012207031,539.5,2203934,456.334320068359
"364",536.099975585938,546.325012207031,536.099975585938,539.375,3277734,456.228637695312
"365",537.150024414062,542.025024414062,529.974975585938,531.375,2776050,449.461883544922
"366",535.349975585938,537.974975585938,529.349975585938,532.325012207031,2829874,450.265411376953
"367",533.625,534.950012207031,523.674987792969,524.549987792969,2467696,443.688934326172
"368",526.5,532.325012207031,521.5,530,2014050,448.298828125
"369",530.5,532.375,523.799987792969,525.599975585938,1213340,444.576995849609
"370",524.349975585938,525.599975585938,516.900024414062,520.375,2553038,440.157562255859
"371",521.950012207031,524.5,506.325012207031,508.200012207031,2514352,429.859283447266
"372",505.5,522.900024414062,505.024993896484,519.525024414062,4008224,439.438568115234
"373",516.724975585938,523.900024414062,504,510.375,3205934,431.699005126953
"374",507,517.5,506.549987792969,509.450012207031,1731600,430.916625976562
"375",513.900024414062,513.900024414062,507.524993896484,510.399993896484,1550706,431.720184326172
"376",508.024993896484,514.849975585938,504.5,511.950012207031,2903286,433.03125
"377",517.224975585938,519,510,513.75,2633206,434.553833007812
"378",515.950012207031,516.075012207031,506.725006103516,509.825012207031,3450502,431.233825683594
"379",512.200012207031,521.5,510.450012207031,520.375,2291110,440.157562255859
"380",516.700012207031,518.5,508,509.274993896484,2608300,430.768615722656
"381",512,515.400024414062,504.600006103516,507.799987792969,2139624,429.52099609375
"382",507.799987792969,513.625,501.625,509.475006103516,1902156,430.937744140625
"383",510.325012207031,512.974975585938,503.575012207031,505.475006103516,2011658,427.554473876953
"384",504.975006103516,512.424987792969,500.75,510.649993896484,2384560,431.931732177734
"385",510.549987792969,513.825012207031,501.5,505.649993896484,6042040,427.702362060547
"386",503.850006103516,506.049987792969,498.700012207031,500.725006103516,2332384,423.536651611328
