"","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
"1323",4610.9501953125,4645,4584.64990234375,4595.2998046875,409446,4567.3466796875
"1324",4595,4640,4535,4605.25,427837,4577.236328125
"1325",4609.9501953125,4689,4591.10009765625,4625.85009765625,401847,4597.71142578125
"1326",4625,4642.25,4541,4555.10009765625,310725,4527.3916015625
"1327",4580.0498046875,4599.60009765625,4458,4482.14990234375,266803,4454.88525390625
"1328",4510,4529.89990234375,4433,4442,167057,4414.9794921875
"1329",4455,4465,4410.25,4447.14990234375,177405,4420.09814453125
"1330",4459.7998046875,4625,4451.9501953125,4605.2998046875,361967,4577.28564453125
"1331",4605,4617.0498046875,4533,4550.39990234375,433331,4522.720703125
"1332",4540.9501953125,4607,4523.35009765625,4536.4501953125,225979,4508.85498046875
"1333",4569,4597.9501953125,4530.9501953125,4568.14990234375,202680,4540.36181640625
"1334",4590,4620,4551.25,4609.89990234375,289579,4581.85791015625
"1335",4635,4665,4580.64990234375,4640.4501953125,332364,4612.22265625
"1336",4672,4795,4535.4501953125,4599.14990234375,1298380,4571.173828125
"1337",4600,4731,4525,4621.9501953125,1655511,4593.8349609375
"1338",4689,4847,4686,4814.25,1692479,4784.96533203125
"1339",4839.64990234375,5002.2001953125,4806,4967.2998046875,1326161,4937.083984375
"1340",4967.9501953125,5009.2001953125,4934.0498046875,4950.2001953125,698352,4920.08837890625
"1341",4969,4969.4501953125,4893.5,4940.10009765625,382992,4910.0498046875
"1342",4964.4501953125,5040,4950.0498046875,5026.4501953125,552840,4995.87451171875
"1343",5020,5028.5498046875,4920,4926.64990234375,411502,4896.68115234375
"1344",4926.64990234375,4965.85009765625,4907.0498046875,4926.7001953125,249400,4896.73095703125
"1345",4949,4995,4915.0498046875,4924.75,343835,4894.79296875
"1346",4925,4990,4916.75,4951.0498046875,308751,4920.93310546875
"1347",4965,5022.5498046875,4951.0498046875,5009,360156,4978.5302734375
"1348",5039.9501953125,5259.7998046875,5018,5218.75,1712253,5187.00439453125
"1349",5218.75,5294,5163.0498046875,5200.0498046875,797312,5168.41845703125
"1350",5220,5261.9501953125,5135.2998046875,5145,327818,5113.70263671875
"1351",5174.9501953125,5197.89990234375,5101.10009765625,5162.0498046875,334154,5130.6494140625
"1352",5169.85009765625,5173,5086.60009765625,5118.75,410174,5087.61328125
"1353",5129.89990234375,5155,5055,5066,329800,5035.18359375
"1354",5084.39990234375,5084.39990234375,5001,5045.4501953125,335552,5014.75927734375
"1355",5049.9501953125,5055,5000.0498046875,5036.9501953125,430106,5006.310546875
"1356",5040,5150,5036.9501953125,5142.7998046875,556456,5111.515625
"1357",5145,5175.9501953125,5116.14990234375,5126.89990234375,362944,5095.71337890625
"1358",5128,5148.9501953125,5064.0498046875,5098.2001953125,411015,5067.18798828125
"1359",5127.5,5142.5,5060,5068.5,150815,5037.66845703125
"1360",5119.89990234375,5124.7001953125,5052.0498046875,5109.9501953125,233404,5078.8671875
"1361",5125,5148.5,5050.39990234375,5077.64990234375,279982,5046.76318359375
"1362",5090,5310,5070.2001953125,5283.0498046875,1251554,5250.9130859375
"1363",5274.9501953125,5274.9501953125,5130,5146.25,559765,5114.94580078125
"1364",5179.85009765625,5203.5,5110.75,5158.35009765625,271366,5126.97265625
"1365",5200,5272.39990234375,5165.10009765625,5257,503174,5225.02197265625
"1366",5261.64990234375,5288.4501953125,5205.85009765625,5252.0498046875,263391,5220.10205078125
"1367",5289.89990234375,5289.89990234375,5168,5182,338327,5150.47802734375
"1368",5180,5198.4501953125,5096.25,5171.7998046875,508041,5140.34033203125
"1369",5152.2001953125,5318.9501953125,5152.2001953125,5219.2998046875,469609,5187.55078125
"1370",5206.5,5324,5106.4501953125,5162.60009765625,511024,5131.1962890625
"1371",5162.60009765625,5223.9501953125,5162.60009765625,5175.60009765625,265631,5144.11669921875
"1372",5170,5210,5132.64990234375,5195.4501953125,276787,5163.8466796875
"1373",5130.0498046875,5253,5125.0498046875,5204.89990234375,313184,5173.23828125
"1374",5144,5225.7001953125,5144,5180.7998046875,249814,5149.28515625
"1375",5153.7998046875,5220,5153.7998046875,5212.2001953125,547945,5180.494140625
"1376",5196,5255,5143.0498046875,5155.75,297720,5124.3876953125
"1377",5146.75,5265,5144.2001953125,5215.5,363050,5183.7744140625
"1378",5177,5364,5177,5346.9501953125,453505,5314.4248046875
"1379",5339.9501953125,5339.9501953125,5158.5498046875,5173.4501953125,689230,5141.97998046875
"1380",5210,5210,5021.5498046875,5032.39990234375,1044095,5001.78759765625
"1381",5033,5043.7001953125,4976,4996.75,1016605,4966.35498046875
"1382",4960,5030,4956.2998046875,4996.2998046875,412037,4965.9072265625
"1383",5025,5036.4501953125,4964,4980.2998046875,358846,4950.0048828125
"1384",4980.2998046875,5024.89990234375,4956.35009765625,5014.39990234375,608113,4983.8974609375
"1385",5017,5055,4980.14990234375,5023.35009765625,519420,4992.79345703125
"1386",5023.35009765625,5026,4958,4981.35009765625,268668,4951.04833984375
"1387",4981.39990234375,4981.4501953125,4903.60009765625,4922.5,370166,4892.556640625
"1388",4930,5012,4811.14990234375,4906.14990234375,1066479,4876.30615234375
