,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
1704,1569.150024,1583.75,1554.150024,1577.650024,4982785,1577.650024
1705,1571,1588.5,1556.949951,1560.400024,6714728,1560.400024
1706,1551.150024,1648.900024,1551.150024,1627.150024,10775801,1627.150024
1707,1627.150024,1646.199951,1617.199951,1643.599976,3790108,1643.599976
1708,1652.900024,1652.900024,1613.150024,1620.550049,9131055,1620.550049
1709,1629.75,1630.5,1582.400024,1584.099976,8772014,1584.099976
1710,1600,1622.050049,1585.349976,1615.349976,10324005,1615.349976
1711,1618,1624.650024,1594.800049,1597.849976,4296866,1597.849976
1712,1595.900024,1605.900024,1589.050049,1602.550049,4264409,1602.550049
1713,1610.550049,1611.849976,1570.050049,1578.650024,14645786,1578.650024
1714,1588,1588,1571.199951,1586,3853182,1586
1715,1578.5,1617.900024,1578.5,1610.550049,13120939,1610.550049
1716,1618,1685,1606.800049,1681.75,12900707,1681.75
1717,1681.75,1687,1660.150024,1662.550049,4375126,1662.550049
1718,1650.5,1658.650024,1608.5,1615.300049,6182486,1615.300049
1719,1621.400024,1623,1596.099976,1601.900024,3905144,1601.900024
1720,1586.400024,1609.75,1585.449951,1600.300049,5865855,1600.300049
1721,1610,1622.300049,1573.400024,1578.099976,9738879,1578.099976
1722,1586,1607.449951,1578.349976,1586.900024,4363599,1586.900024
1723,1590,1598.800049,1575,1583.900024,3610076,1583.900024
1724,1583.900024,1606.849976,1581.099976,1599.5,3400479,1599.5
1725,1599.5,1628.449951,1596.300049,1599.849976,2559578,1599.849976
1726,1605,1613.050049,1581.099976,1586.900024,4438130,1586.900024
1727,1583,1597.199951,1563.349976,1587.75,2249626,1587.75
1728,1593,1606.550049,1584.050049,1595.699951,1405565,1595.699951
