"","HINDCOPPER.NS.Open","HINDCOPPER.NS.High","HINDCOPPER.NS.Low","HINDCOPPER.NS.Close","HINDCOPPER.NS.Volume","HINDCOPPER.NS.Adjusted"
"319",50.6500015258789,50.7000007629395,48.75,49,631179,47.2366256713867
"320",48.8499984741211,48.8499984741211,48,48.2000007629395,348328,46.4654197692871
"321",48.5499992370605,49.3499984741211,48.25,48.5499992370605,576467,46.8028259277344
"322",48.7999992370605,49.2000007629395,48.5999984741211,48.9000015258789,398748,47.1402282714844
"323",48.75,49.1500015258789,47.5499992370605,47.9500007629395,431032,46.224422454834
"324",47.9500007629395,48.0999984741211,47.5,47.75,321256,46.0316123962402
"325",47.75,47.75,45.8499984741211,46.0499992370605,505957,44.3927917480469
"326",45.75,47.3499984741211,45.2000007629395,46.2999992370605,494202,44.6337966918945
"327",46.4000015258789,46.5999984741211,45.8499984741211,45.9000015258789,223449,44.2481918334961
"328",45.0499992370605,46,44.0499992370605,44.9500007629395,408500,43.3323822021484
"329",45.25,45.2999992370605,43.5999984741211,43.8499984741211,457064,42.2719612121582
"330",43.6500015258789,44.2000007629395,43.1500015258789,43.2999992370605,474404,41.741756439209
"331",43.2999992370605,44.1500015258789,43.0499992370605,43.2000007629395,442093,41.6453552246094
"332",43.3499984741211,43.7000007629395,42.7999992370605,42.9000015258789,504873,41.3561515808105
"333",42.9000015258789,43.2000007629395,41.9000015258789,42.0499992370605,329781,40.5367431640625
"334",42,42,41.0999984741211,41.2999992370605,460187,39.8137283325195
"335",41.6500015258789,42.2999992370605,40.4500007629395,40.5999984741211,466148,39.1389198303223
"336",40.9000015258789,41.0999984741211,40.0999984741211,40.5,429644,39.0425186157227
"337",40.6500015258789,40.9000015258789,39.75,40.0999984741211,560173,38.6569137573242
"338",41.9000015258789,43.1500015258789,40.8499984741211,41.0999984741211,1345155,39.6209297180176
"339",41.5,42.2000007629395,40.4500007629395,40.5499992370605,639298,39.0907211303711
"340",40.7000007629395,41.0999984741211,40.2000007629395,40.5499992370605,675993,39.0907211303711
"341",41.75,41.7999992370605,39.5,40.0999984741211,992452,38.6569137573242
"342",40.7000007629395,42.2999992370605,40.4000015258789,42.0499992370605,1139462,40.5367431640625
"343",42.3499984741211,44.7000007629395,42.0999984741211,43.3499984741211,1366499,41.7899551391602
"344",43.7000007629395,46.2000007629395,43.5499992370605,45.25,2887965,43.62158203125
"345",46.4000015258789,47.4000015258789,45.2000007629395,45.7000007629395,2437336,44.0553855895996
"346",45.75,46.2000007629395,45.0499992370605,45.4500007629395,701043,43.814380645752
"347",45.5999984741211,45.75,43.9000015258789,44.1500015258789,821815,42.5611686706543
"348",44.0499992370605,44.0999984741211,43.25,43.6500015258789,505080,42.079158782959
"349",43.6500015258789,45.1500015258789,43.4000015258789,44.25,969869,42.6575660705566
"350",44.25,44.4000015258789,42.9000015258789,43.3499984741211,370029,41.7899551391602
"351",43.4500007629395,43.5499992370605,42.4000015258789,42.6500015258789,331405,41.1151504516602
"352",42.75,43,41.25,41.7000007629395,550010,40.1993370056152
"353",41.9000015258789,42.3499984741211,41.3499984741211,42,563242,40.4885406494141
"354",42,42.7999992370605,41.5999984741211,41.8499984741211,515096,40.3439331054688
"355",41.9500007629395,41.9500007629395,40.25,41,560766,39.524528503418
"356",40.9000015258789,41,40.2000007629395,40.3499984741211,457176,38.8979187011719
"357",40.5499992370605,40.5999984741211,39.75,40,395103,38.5605125427246
"358",39.75,40.3499984741211,39.6500015258789,39.8499984741211,407060,38.4159088134766
"359",40.0999984741211,40.4500007629395,38.0999984741211,38.5,768375,37.1144943237305
"360",38.25,39.4000015258789,37.75,39,611334,37.5965003967285
"361",38.9500007629395,39.8499984741211,38.7999992370605,39.0999984741211,456757,37.6929054260254
"362",39.2000007629395,39.75,38.6500015258789,39,353523,37.5965003967285
"363",39,39.5,38.2000007629395,39.2000007629395,780189,37.789306640625
"364",39.2000007629395,40.7999992370605,39.0499992370605,40.25,1118694,38.8015213012695
"365",40.6500015258789,41,40.0499992370605,40.2000007629395,667806,38.7533149719238
"366",40.5,40.6500015258789,39.2000007629395,39.9500007629395,728849,38.5123138427734
"367",40.1500015258789,40.9000015258789,40.0999984741211,40.2999992370605,427863,38.8497200012207
"368",40.2999992370605,40.5,39.5999984741211,40.2000007629395,334963,38.7533149719238
"369",40.2000007629395,40.7000007629395,39.9000015258789,40.5,494080,39.0425186157227
"370",40.7000007629395,41,40.0499992370605,40.2000007629395,377288,38.7533149719238
"371",40.25,40.5499992370605,39.3499984741211,39.4500007629395,399725,38.0303077697754
"372",39,39.4000015258789,38.3499984741211,38.6500015258789,319097,37.2590980529785
"373",38.3499984741211,38.6500015258789,38,38.3499984741211,407068,36.9698905944824
"374",38.4000015258789,38.4000015258789,37.7000007629395,37.7999992370605,264288,36.4396858215332
"375",38.0999984741211,38.4500007629395,37.8499984741211,38.1500015258789,332284,36.7770957946777
"376",38.4000015258789,38.4000015258789,37.7999992370605,38,309885,36.6324844360352
"377",38.2000007629395,38.4000015258789,37.5499992370605,37.7000007629395,284072,36.3432807922363
"378",37.9000015258789,38,37.5,37.5499992370605,268557,36.1986846923828
"379",37.7999992370605,38.0999984741211,37.5,37.5499992370605,469838,36.1986846923828
"380",37.4500007629395,37.5,36.5999984741211,36.75,350632,35.4274711608887
"381",36.9000015258789,36.9000015258789,36,36.0999984741211,418550,34.8008575439453
"382",36,36.0999984741211,35.0499992370605,35.2999992370605,411936,34.029655456543
"383",35.1500015258789,35.4000015258789,35,35.1500015258789,246513,34.3916702270508
"384",35.0499992370605,35.2000007629395,33.7999992370605,34.0999984741211,388457,33.3643188476562
"385",34.25,34.4500007629395,33.2999992370605,33.5,338134,32.777271270752
"386",33.5,34.0499992370605,33.0999984741211,33.5499992370605,415904,32.8261871337891
"387",33.5999984741211,33.6500015258789,33,33.0999984741211,315788,32.3858985900879
"388",33.25,33.4000015258789,31.1499996185303,31.5499992370605,534687,30.8693351745605
"389",31.5499992370605,32.9000015258789,30.8500003814697,32.5,446076,31.7988414764404
"390",32.0999984741211,33.5999984741211,31.6000003814697,32.0999984741211,507507,31.4074726104736
"391",31.9500007629395,32.0999984741211,31,31.8500003814697,424586,31.1628646850586
"392",31.6499996185303,31.6499996185303,30.3500003814697,30.5,464452,29.8419895172119
"393",30.1000003814697,31.4500007629395,30.1000003814697,31.25,415861,30.5758113861084
"394",31.7000007629395,31.8500003814697,30.6000003814697,31.0499992370605,371434,30.3801231384277
"395",31.0499992370605,32.9500007629395,30.75,32.6500015258789,591876,31.9456062316895
"396",33,33.3499984741211,32.5,32.8499984741211,318544,32.1412925720215
"397",32.2999992370605,32.4000015258789,31.4500007629395,31.6499996185303,360464,30.9671802520752
"398",31.9500007629395,32,31.0499992370605,31.3999996185303,312512,30.7225742340088
"399",31.2000007629395,33.25,30.2000007629395,32.5499992370605,1233067,31.8477649688721
"400",32.5499992370605,33.0499992370605,32.0999984741211,32.2999992370605,256202,31.603157043457
"401",32.4500007629395,32.5999984741211,30.7000007629395,31.1499996185303,346797,30.4779682159424
"402",31.5499992370605,31.5499992370605,30.0499992370605,30.5,519432,29.8419895172119
"403",30.0499992370605,30.2000007629395,28.2000007629395,28.7999992370605,548980,28.1786670684814
"404",29,29.7000007629395,27.8500003814697,29.5,731882,28.8635635375977
"405",30,30.6000003814697,29.1499996185303,30.2999992370605,438131,29.6463069915771
"406",30.1000003814697,32.9500007629395,30.1000003814697,32.2000007629395,735904,31.5053157806396
"407",32.3499984741211,32.5,30.7000007629395,30.8999996185303,464826,30.2333602905273
"408",31.2000007629395,32.8499984741211,30.75,32,1563571,31.309627532959
"409",32.1500015258789,32.5,31.25,31.6000003814697,597218,30.9182605743408
"410",30.9500007629395,32.25,30.6000003814697,30.7999992370605,431799,30.1355171203613
"411",30.9500007629395,31.7000007629395,30.5,31.4500007629395,298368,30.7714958190918
"412",31.7000007629395,34.8499984741211,31.6000003814697,33.75,1770170,33.0218772888184
