"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"184",2323.39990234375,2323.39990234375,2192.14990234375,2204.19995117188,2796294,2163.70190429688
"185",2232,2248,2117,2168,3831096,2128.16748046875
"186",2168,2233.35009765625,2052.19995117188,2208.5,4821772,2167.92333984375
"187",2200,2329.94995117188,2166.05004882812,2232.19995117188,5567701,2191.18774414062
"188",2169,2212,2118.55004882812,2179.14990234375,4002718,2139.1123046875
"189",2160,2214.60009765625,1963.25,2023.30004882812,3470441,1986.12585449219
"190",1992,2090,1912.19995117188,1974.84997558594,5966669,1938.56604003906
"191",1975,2115.85009765625,1947.65002441406,2060.85009765625,4859016,2022.98608398438
"192",2100,2305.69995117188,2100,2270.94995117188,7235957,2229.2255859375
"193",2100,2230,2060,2162.10009765625,5467086,2122.3759765625
"194",2227.25,2320,2227.25,2287.35009765625,3665577,2245.32470703125
"195",2319.75,2319.75,2261.10009765625,2306.19995117188,2435413,2263.82788085938
"196",2325,2362,2285.25,2308.85009765625,2528484,2266.42944335938
"197",2340,2369.25,2132.85009765625,2150.5,3811985,2110.98901367188
"198",2150,2198,2053.94995117188,2140.5,4286790,2101.17260742188
"199",2188,2218.94995117188,2091,2115.35009765625,3681946,2076.48461914062
"200",2095,2155.35009765625,1997.55004882812,2083.35009765625,9064775,2045.07275390625
"201",2175,2339,2160,2311.80004882812,10357295,2269.3251953125
"202",2285,2348,2256.80004882812,2335,5201159,2292.09887695312
"203",2329.94995117188,2376.80004882812,2278.5,2338.89990234375,3795831,2295.92749023438
"204",2338.89990234375,2392,2315,2380.44995117188,2201145,2336.7138671875
"205",2395,2423.89990234375,2350.35009765625,2356.35009765625,2202230,2313.056640625
"206",2367.80004882812,2392,2306.89990234375,2382.55004882812,2808812,2338.775390625
"207",2391.44995117188,2435,2372.44995117188,2418.10009765625,2552134,2373.67236328125
"208",2443,2474.89990234375,2365,2383.30004882812,2367117,2339.51171875
"209",2390,2409,2332.69995117188,2359.39990234375,1625999,2316.05053710938
"210",2370,2389.89990234375,2332.35009765625,2339.75,1368682,2296.76171875
"211",2360,2364.5,2343.69995117188,2348.39990234375,171467,2305.25317382812
"212",2349.64990234375,2383.85009765625,2338.25,2375.35009765625,1327846,2331.70776367188
"213",2375.35009765625,2385,2270,2277.60009765625,1479678,2235.75366210938
"214",2270,2308.35009765625,2233.10009765625,2285,2297710,2243.017578125
"215",2299,2315,2265,2293.94995117188,1456146,2251.80297851562
"216",2287,2348,2285.10009765625,2341.30004882812,1577115,2298.28295898438
"217",2342,2417.19995117188,2340,2402.10009765625,1918873,2357.96630859375
"218",2420,2422.30004882812,2350.30004882812,2360.94995117188,1357795,2317.57202148438
"219",2365,2392.94995117188,2345.75,2380.10009765625,1237702,2336.37036132812
"220",2389,2435,2361.69995117188,2430.55004882812,1514725,2385.89331054688
"221",2432,2454.80004882812,2360,2381.5,1604279,2337.74438476562
"222",2400,2411.89990234375,2346.94995117188,2394.60009765625,1391434,2350.60400390625
"223",2395,2439.89990234375,2375,2435.44995117188,1594955,2390.70336914062
"224",2445.94995117188,2449,2396.25,2412.55004882812,1396260,2368.22436523438
"225",2435,2517.60009765625,2416.85009765625,2506.5,2861284,2460.44799804688
"226",2538,2564.39990234375,2507.05004882812,2537.69995117188,2737341,2491.07495117188
"227",2548,2555.55004882812,2490.75,2508.64990234375,1115592,2462.55859375
"228",2509,2549,2495,2543.55004882812,1329587,2496.8173828125
"229",2539.89990234375,2539.89990234375,2470.30004882812,2494.10009765625,1327031,2448.27587890625
"230",2481,2494,2418,2432.39990234375,1317472,2387.70947265625
"231",2443,2497.75,2414.64990234375,2486.35009765625,1478720,2440.66821289062
"232",2410.44995117188,2443.89990234375,2382.35009765625,2395.55004882812,1399894,2351.53637695312
"233",2360,2446.5,2332.10009765625,2426.75,2189278,2382.1630859375
"234",2445,2514.89990234375,2434.35009765625,2493.94995117188,1683197,2448.12890625
"235",2510.19995117188,2528.94995117188,2475,2489.10009765625,1713161,2443.36767578125
"236",2488.25,2512,2464.25,2486.35009765625,1204379,2440.66821289062
"237",2498.60009765625,2509.89990234375,2466.25,2474.39990234375,1019602,2428.9375
"238",2469.69995117188,2538.19995117188,2446.60009765625,2532.19995117188,1653107,2485.67578125
"239",2550.80004882812,2629.10009765625,2550.14990234375,2596.89990234375,2946314,2549.18725585938
"240",2560,2609.89990234375,2531.60009765625,2591.39990234375,1467028,2543.7880859375
"241",2615,2623.89990234375,2532.69995117188,2591.25,3042464,2543.64111328125
"242",2594,2604.85009765625,2553,2564.89990234375,1050017,2517.77465820312
"243",2560,2582.94995117188,2503.69995117188,2567.39990234375,1662068,2520.22875976562
"244",2598.85009765625,2626.75,2570,2587.14990234375,1626301,2539.61596679688
"245",2603,2643.80004882812,2585.94995117188,2634.80004882812,1901581,2586.39086914062
"246",2656.94995117188,2666.30004882812,2635.60009765625,2645.14990234375,1453327,2596.55053710938
"247",2645,2664,2612.10009765625,2656.85009765625,917872,2608.03588867188
"248",2635.10009765625,2662,2601.89990234375,2614.05004882812,1304915,2566.02197265625
"249",2612,2648,2575.30004882812,2586.19995117188,1282478,2538.68359375
"250",2601,2611.89990234375,2563.64990234375,2576.05004882812,1051021,2528.72045898438
"251",2601,2605,2545.35009765625,2553.60009765625,1024328,2506.6826171875
"252",2560,2582,2525.05004882812,2537.05004882812,1233379,2490.43701171875
"253",2546,2559.80004882812,2510,2524.35009765625,1093992,2477.97045898438
"254",2526,2542.44995117188,2504.69995117188,2514.64990234375,910839,2468.4482421875
"255",2516,2530,2488,2514.19995117188,818218,2468.00659179688
"256",2515.94995117188,2552.89990234375,2484.14990234375,2544.80004882812,1021504,2498.04443359375
"257",2551,2613,2551,2604.19995117188,1466303,2556.35302734375
"258",2598.39990234375,2612.14990234375,2562.80004882812,2569.85009765625,952597,2522.63427734375
"259",2574,2586.55004882812,2527.05004882812,2535.89990234375,994183,2489.30786132812
"260",2545,2555,2525.10009765625,2542.89990234375,753775,2496.17919921875
"261",2548,2606,2526.60009765625,2594.19995117188,1332159,2546.53662109375
"262",2585,2635,2575,2621.89990234375,1474713,2573.72778320312
"263",2619,2653,2611,2634.35009765625,992504,2585.94873046875
"264",2639,2653.5,2603.10009765625,2635.64990234375,753856,2587.22509765625
"265",2649,2661,2585,2599.55004882812,916927,2551.78857421875
"266",2610,2610,2355,2458.5,2364047,2413.33032226562
"267",2468,2570.10009765625,2371.64990234375,2515.55004882812,6118833,2469.33178710938
"268",2580,2623.69995117188,2546,2595.5,3879707,2547.81298828125
"269",2608,2608,2526,2574.85009765625,2083418,2527.54248046875
"270",2575,2687.89990234375,2575,2628.39990234375,2117768,2580.10815429688
"271",2610,2623.55004882812,2572.19995117188,2594.44995117188,942113,2546.78198242188
"272",2600,2642.10009765625,2593.94995117188,2603.60009765625,1010817,2555.76416015625
"273",2619,2720,2612.10009765625,2711.25,1798461,2661.43603515625
"274",2725,2731,2684.10009765625,2696.60009765625,1760580,2647.05541992188
"275",2670,2737.44995117188,2670,2707.14990234375,1510785,2657.4111328125
"276",2724.69995117188,2724.69995117188,2635,2657.19995117188,1194702,2608.37915039062
"277",2668,2677.14990234375,2616.30004882812,2621.80004882812,1200370,2573.6298828125
"278",2579.94995117188,2622,2556.89990234375,2609.19995117188,1214126,2561.26098632812
"279",2610,2610,2506,2561.10009765625,1640696,2514.04467773438
"280",2548.05004882812,2561,2512.44995117188,2549.44995117188,1154520,2502.6083984375
"281",2551,2606.94995117188,2545,2559.80004882812,1148339,2512.76904296875
"282",2585,2614.80004882812,2571,2606.14990234375,1038127,2558.26708984375
"283",2610,2660,2593.05004882812,2654.69995117188,1139823,2605.92504882812
"284",2652.55004882812,2674,2632.39990234375,2640.39990234375,825672,2591.8876953125
"285",2639,2675,2613.75,2657.75,1024040,2608.9189453125
"286",2637.30004882812,2678,2600,2657.75,1618996,2608.9189453125
"287",2670,2696.64990234375,2625,2642,1147839,2593.45849609375
"288",2666.60009765625,2667,2630,2649,1136843,2600.32983398438
"289",2663.30004882812,2674.30004882812,2640,2660.75,707094,2611.86401367188
"290",2655,2708.35009765625,2644.60009765625,2695.14990234375,847307,2645.6318359375
"291",2715,2774.19995117188,2700,2766.69995117188,1543424,2715.86743164062
"292",2774.94995117188,2782.30004882812,2725,2734.80004882812,859851,2684.5537109375
"293",2724.89990234375,2779,2716.60009765625,2768.30004882812,1178087,2717.43798828125
"294",2769,2807.94995117188,2769,2791.05004882812,1169075,2739.77001953125
"295",2808.80004882812,2816.64990234375,2745.5,2753.05004882812,1385335,2702.46801757812
