"","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
"404",1136,1156,1122.44995117188,1147.59997558594,228500,1117.84704589844
"405",1167.84997558594,1179.80004882812,1136,1172.19995117188,473818,1141.80920410156
"406",1178.05004882812,1222.90002441406,1178,1196.80004882812,639260,1165.77136230469
"407",1196,1202.90002441406,1172.25,1177.94995117188,140431,1147.41003417969
"408",1173.90002441406,1192.09997558594,1161,1175.94995117188,200472,1145.46215820312
"409",1180,1209,1166.09997558594,1202.25,423932,1171.080078125
"410",1199,1207.80004882812,1147.69995117188,1157.75,426473,1127.73413085938
"411",1159.90002441406,1171,1136,1167.80004882812,247619,1137.5234375
"412",1173.65002441406,1182.09997558594,1164.05004882812,1170.05004882812,233431,1139.71508789062
"413",1181,1194.80004882812,1162.84997558594,1188.25,196416,1157.44323730469
"414",1184.40002441406,1226.84997558594,1180.94995117188,1219.34997558594,381964,1187.73693847656
"415",1230,1239.09997558594,1216,1224.75,697939,1192.99682617188
"416",1232,1247,1213.55004882812,1229.05004882812,559365,1197.18542480469
"417",1227.90002441406,1253.80004882812,1223.5,1246.30004882812,400405,1213.98828125
"418",1235,1258.59997558594,1230.59997558594,1242.5,353118,1210.28698730469
"419",1240,1265,1236,1243.15002441406,422357,1210.919921875
"420",1250,1259.90002441406,1237.09997558594,1247.5,335300,1215.15710449219
"421",1240.55004882812,1247,1226.65002441406,1234.19995117188,285936,1202.20166015625
"422",1241.09997558594,1335,1229.09997558594,1327.75,1018768,1293.32653808594
"423",1350,1460.5,1350,1445.05004882812,1148398,1407.58532714844
"424",1445,1493.80004882812,1421.69995117188,1435.30004882812,794716,1398.08813476562
"425",1424.05004882812,1475.05004882812,1424.05004882812,1442.5,1130201,1405.10144042969
"426",1449.40002441406,1500,1441.94995117188,1489.80004882812,1088276,1451.17529296875
"427",1487,1520,1477.55004882812,1509.05004882812,937304,1469.92602539062
"428",1509.05004882812,1527.80004882812,1478.15002441406,1516.05004882812,825022,1476.74462890625
"429",1518.90002441406,1565,1513.09997558594,1543.25,1130864,1503.23937988281
"430",1543,1552,1500.55004882812,1525.65002441406,637424,1486.09582519531
"431",1526,1556.44995117188,1526,1533.40002441406,730395,1493.64465332031
"432",1528,1560,1493.19995117188,1521.40002441406,831879,1481.95581054688
"433",1521.40002441406,1595,1515.5,1588.19995117188,1060171,1547.02380371094
"434",1586,1598.69995117188,1554.19995117188,1572.30004882812,800313,1531.53625488281
"435",1572.30004882812,1595,1565.05004882812,1574.25,508118,1533.43566894531
"436",1580.09997558594,1604.5,1569.65002441406,1573.69995117188,580227,1532.89990234375
"437",1578.69995117188,1595.5,1574,1592,482922,1550.72534179688
"438",1595,1618,1592,1611.25,599054,1569.47644042969
"439",1610.19995117188,1632.40002441406,1608.40002441406,1622.55004882812,857899,1580.48352050781
"440",1625.55004882812,1656,1620.19995117188,1648.69995117188,500602,1605.95532226562
"441",1650,1693.5,1645.94995117188,1675,592793,1631.57360839844
"442",1675,1717.44995117188,1659.30004882812,1673.19995117188,780998,1629.8203125
"443",1673.5,1680.94995117188,1623,1631.19995117188,576194,1588.90905761719
"444",1628,1631.19995117188,1592.5,1620.59997558594,593215,1578.583984375
"445",1629,1640,1615,1623.80004882812,39096,1581.70104980469
"446",1627.90002441406,1662.94995117188,1624.05004882812,1640.94995117188,471795,1598.40625
"447",1654.65002441406,1671,1641.55004882812,1651.30004882812,319316,1608.48815917969
"448",1658.59997558594,1676.94995117188,1648.19995117188,1656.09997558594,452873,1613.16369628906
"449",1666.44995117188,1693.40002441406,1661.75,1671.65002441406,445320,1628.310546875
"450",1680.09997558594,1696.69995117188,1662.05004882812,1683.44995117188,525063,1639.80456542969
"451",1679.5,1686.05004882812,1640.19995117188,1677.40002441406,440520,1633.91149902344
"452",1680,1708.94995117188,1660.09997558594,1682.75,589679,1639.12268066406
"453",1686.69995117188,1699.94995117188,1659,1665.05004882812,649773,1621.88146972656
"454",1673.94995117188,1683,1640.19995117188,1648.5,959073,1605.76062011719
"455",1647,1684.80004882812,1640,1675.19995117188,587190,1631.76843261719
"456",1689,1695,1624,1634.55004882812,842980,1592.17248535156
"457",1635,1650.15002441406,1608.25,1612.5,582704,1570.69396972656
"458",1613.30004882812,1623.19995117188,1564.59997558594,1575.80004882812,995367,1534.94555664062
"459",1575.5,1597.69995117188,1545.90002441406,1554.59997558594,1109303,1514.29516601562
"460",1554.05004882812,1590,1545.55004882812,1579,849421,1538.06237792969
"461",1570,1597.94995117188,1506,1543.19995117188,2267097,1503.19055175781
"462",1548,1551.59997558594,1524.09997558594,1543.15002441406,864546,1503.14184570312
"463",1543.19995117188,1544,1470.30004882812,1489.55004882812,1465111,1450.93176269531
"464",1494,1527.65002441406,1491.55004882812,1521.59997558594,1021393,1482.15063476562
"465",1530,1542.15002441406,1462.15002441406,1493.90002441406,7621739,1455.1689453125
"466",1479.80004882812,1484,1448,1474.25,1143254,1436.02819824219
"467",1481,1493.90002441406,1465.69995117188,1486.84997558594,476410,1448.30163574219
"468",1486.25,1498,1461.05004882812,1470.19995117188,401229,1432.0830078125
"469",1470.09997558594,1489,1463.09997558594,1482.69995117188,265743,1444.25927734375
"470",1478.09997558594,1493.5,1466,1477.15002441406,382335,1438.85302734375
"471",1476,1503.69995117188,1460.05004882812,1485.80004882812,684849,1447.27880859375
"472",1487,1494.90002441406,1469.15002441406,1479.05004882812,246746,1440.70385742188
"473",1483.69995117188,1489.65002441406,1456.40002441406,1475.15002441406,286715,1436.90490722656
"474",1480,1485,1463.09997558594,1474.80004882812,203357,1436.56420898438
"475",1478,1488.84997558594,1460,1464.75,158161,1426.77453613281
"476",1467.5,1498.90002441406,1453.65002441406,1493,361335,1454.29223632812
"477",1499,1506.90002441406,1473.34997558594,1487.80004882812,369558,1449.22692871094
"478",1493.69995117188,1499,1424.65002441406,1484.09997558594,354061,1445.62280273438
"479",1484,1518.5,1482.75,1493.34997558594,938735,1454.63293457031
"480",1496.09997558594,1504.80004882812,1480.30004882812,1495.05004882812,391336,1456.2890625
"481",1497.59997558594,1515.30004882812,1493,1503.40002441406,448321,1464.42248535156
"482",1502.40002441406,1537,1497,1527.69995117188,761881,1488.09252929688
"483",1534.59997558594,1549.90002441406,1516.59997558594,1540.44995117188,1024116,1500.51208496094
"484",1539,1558,1524.25,1533.25,498731,1493.49841308594
"485",1538,1547.19995117188,1530.30004882812,1535.69995117188,199095,1495.88500976562
"486",1536.15002441406,1541.34997558594,1516,1521.75,266598,1482.29675292969
"487",1527.69995117188,1534.94995117188,1520.25,1526.75,188496,1487.16723632812
"488",1530.55004882812,1545,1513.69995117188,1518.25,397865,1478.88745117188
"489",1515,1524,1492.69995117188,1496.69995117188,330506,1457.89624023438
"490",1496.69995117188,1507.90002441406,1487.09997558594,1491.25,158161,1452.58764648438
"491",1499,1518.90002441406,1485.59997558594,1513.69995117188,338340,1474.45544433594
"492",1516,1517.5,1492.65002441406,1511.15002441406,318700,1471.9716796875
"493",1490.09997558594,1504.65002441406,1459.55004882812,1474.5,251738,1436.27172851562
"494",1479.94995117188,1497.34997558594,1475,1485.15002441406,187292,1446.64575195312
"495",1470.55004882812,1483,1463.09997558594,1473.09997558594,215038,1434.90795898438
"496",1509.40002441406,1511.84997558594,1486.05004882812,1509.40002441406,208851,1470.26708984375
"497",1512,1532,1502.84997558594,1510.25,718067,1471.09509277344
"498",1512,1518.19995117188,1489.55004882812,1501.80004882812,336600,1462.86401367188
"499",1503,1517,1500.55004882812,1511,301320,1471.82543945312
"500",1507.80004882812,1522,1500.05004882812,1508.25,464602,1469.14672851562
"501",1510,1546.80004882812,1510,1535.44995117188,703432,1495.6416015625
"502",1537,1597.69995117188,1537,1588,1040955,1546.8291015625
"503",1594.90002441406,1609,1580.55004882812,1591.75,456685,1550.48181152344
"504",1591.69995117188,1611,1575.09997558594,1583.09997558594,581928,1542.05615234375
"505",1588,1595,1565.5,1577.65002441406,234346,1536.74755859375
"506",1578.34997558594,1594.80004882812,1569.15002441406,1582.69995117188,352940,1541.66650390625
"507",1583,1627.90002441406,1583,1624.94995117188,675803,1582.82116699219
"508",1629,1639,1550.55004882812,1557.09997558594,981767,1516.73034667969
"509",1558.59997558594,1575.44995117188,1501.05004882812,1506.80004882812,683385,1467.734375
"510",1513,1539.40002441406,1490.30004882812,1528.19995117188,627013,1488.57946777344
"511",1530,1534.40002441406,1503.5,1509.80004882812,355752,1470.65661621094
"512",1515,1524.30004882812,1482.30004882812,1500.25,334263,1461.35412597656
"513",1419.65002441406,1459.59997558594,1415.5,1437.25,440274,1406.55053710938
"514",1446.59997558594,1489.80004882812,1446.44995117188,1477.40002441406,292288,1452.9189453125
"515",1487,1508.65002441406,1480,1497.65002441406,273458,1472.83349609375
