"","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
"1100",315.799987792969,319.600006103516,312.700012207031,317.149993896484,4024438,310.435607910156
"1101",321.200012207031,322.649993896484,302.649993896484,304.049987792969,6574807,297.612915039062
"1102",302,310,298,302,7782354,295.606323242188
"1103",305,306.299987792969,294.700012207031,298.5,7708600,292.180419921875
"1104",302.549987792969,317.200012207031,301,315.100006103516,5336496,308.428985595703
"1105",314.450012207031,314.450012207031,303.25,304.299987792969,4354021,297.857604980469
"1106",306.700012207031,315.399993896484,303.5,313.399993896484,6769260,306.764953613281
"1107",317.399993896484,320.200012207031,314.450012207031,315.799987792969,3572017,309.114135742188
"1108",322,322.450012207031,315,318.049987792969,3334788,311.316528320312
"1109",315.899993896484,320,310.5,319.399993896484,5140316,312.637939453125
"1110",315,319.25,313.200012207031,318.549987792969,3164135,311.805938720703
"1111",316.700012207031,321.450012207031,308.100006103516,312.700012207031,5228785,306.079803466797
"1112",310.399993896484,324.399993896484,309.450012207031,323.149993896484,5557896,316.308563232422
"1113",323.100006103516,326.850006103516,321.049987792969,324.75,4171008,317.874694824219
"1114",325,329.799987792969,321.100006103516,322.100006103516,4164243,315.280792236328
"1115",321.5,330.5,321.5,329.600006103516,4031342,322.621978759766
"1116",332,337.700012207031,330.149993896484,336.899993896484,5330866,329.767425537109
"1117",339.899993896484,341.600006103516,334.75,340.399993896484,3635774,333.193359375
"1118",336.549987792969,347.799987792969,336.200012207031,346.149993896484,4251298,338.821624755859
"1119",343,350.600006103516,342.299987792969,346.799987792969,4041343,339.457885742188
"1120",347,353.950012207031,344.850006103516,347.450012207031,5397952,340.094146728516
"1121",349,352.200012207031,344.25,348.549987792969,4920704,341.170806884766
"1122",350.100006103516,355,349.149993896484,353.649993896484,4400222,346.162841796875
"1123",357.100006103516,357.5,350.200012207031,353.200012207031,2406259,345.722381591797
"1124",352.950012207031,361.399993896484,351.799987792969,359.850006103516,5148307,352.231597900391
"1125",364,364.700012207031,352.149993896484,356.399993896484,5343868,348.854614257812
"1126",356.799987792969,361.399993896484,356.450012207031,360.600006103516,3358877,352.965698242188
"1127",360.5,363.399993896484,358,360.149993896484,3247918,352.525238037109
"1128",358.899993896484,360.75,353.5,357.350006103516,2303596,349.784515380859
"1129",357.350006103516,362.350006103516,354.299987792969,360.799987792969,3466646,353.161437988281
"1130",358.700012207031,369.5,358.700012207031,368.649993896484,5478661,360.845245361328
"1131",371.950012207031,384,371.5,382,8480197,373.912628173828
"1132",385.950012207031,396.850006103516,383.75,385.950012207031,8223276,377.779022216797
"1133",385,387.899993896484,376.700012207031,384.25,7429671,376.115020751953
"1134",384.25,386,375.200012207031,376.649993896484,4448690,371.576965332031
"1135",378.100006103516,378.950012207031,368.5,372.200012207031,3183672,367.186920166016
"1136",374.399993896484,375.950012207031,360.799987792969,367.600006103516,4037919,362.648864746094
"1137",369.700012207031,372.850006103516,366.299987792969,367.799987792969,4186137,362.846160888672
"1138",366.5,372.600006103516,365,370.299987792969,3666894,365.312469482422
"1139",370.100006103516,375.25,367.899993896484,368.5,3769700,363.536712646484
"1140",371.899993896484,375.600006103516,370.399993896484,372.549987792969,3888072,367.532165527344
"1141",372.799987792969,377,372.049987792969,372.899993896484,3215823,367.877471923828
"1142",375.899993896484,382.350006103516,374.299987792969,379.149993896484,3839161,374.043304443359
"1143",381.100006103516,386.5,379,380.350006103516,6384327,375.227142333984
"1144",380.549987792969,389.950012207031,379.200012207031,389.149993896484,5188764,383.908599853516
"1145",391,391,371,373.700012207031,6322982,368.666717529297
"1146",372,372.25,363.25,364.799987792969,3796813,359.886566162109
"1147",361.100006103516,369.600006103516,360.100006103516,368.200012207031,2553978,363.240783691406
"1148",370.799987792969,373.350006103516,368,372.049987792969,3120328,367.038909912109
"1149",373.950012207031,383.200012207031,373.049987792969,376.700012207031,4424052,371.626312255859
"1150",379.149993896484,383.799987792969,378.649993896484,380,1981093,374.8818359375
"1151",366.399993896484,374.899993896484,365.049987792969,369.899993896484,2663606,364.917877197266
"1152",372.850006103516,392,372.100006103516,390,10834269,384.747131347656
"1153",388,400,386,398.299987792969,9880155,392.935363769531
"1154",400.850006103516,406,393.75,395,8022555,389.679809570312
"1155",395.899993896484,400.899993896484,391.600006103516,394.100006103516,4044126,388.791931152344
"1156",396.100006103516,398.950012207031,392.299987792969,395.25,2831682,389.926452636719
"1157",391.049987792969,401.600006103516,389.799987792969,399.399993896484,4860013,394.020538330078
"1158",402,403.399993896484,394.799987792969,397.200012207031,4602945,391.850189208984
"1159",399.899993896484,403.450012207031,393,396.899993896484,5536333,391.554229736328
"1160",396.899993896484,396.899993896484,396.899993896484,396.899993896484,0,391.554229736328
"1161",410.899993896484,413.850006103516,407.200012207031,408.75,6632103,403.244598388672
"1162",400,410.25,397.25,407.200012207031,6503658,401.715515136719
"1163",409,413.75,402,411,4834801,405.464324951172
"1164",408.25,413.25,384.450012207031,389.100006103516,9517876,383.859283447266
"1165",391.049987792969,393.899993896484,383.600006103516,385.149993896484,5089286,379.962463378906
"1166",389,400.399993896484,389,391.950012207031,4794091,386.6708984375
"1167",391.049987792969,392.75,378.299987792969,379.75,4035315,374.635223388672
"1168",378.5,383.950012207031,375,380.700012207031,3941049,375.572448730469
"1169",381.100006103516,382.200012207031,368.149993896484,369.950012207031,4060146,364.967224121094
"1170",366,366.5,350.25,352.049987792969,5947442,347.308288574219
"1171",352.100006103516,356.899993896484,344.100006103516,350.75,5931471,346.025817871094
"1172",348.899993896484,354.399993896484,345.200012207031,348.75,3987512,344.052734375
"1173",352.299987792969,355.5,345.049987792969,350.600006103516,5905469,345.877807617188
"1174",348.700012207031,361.25,346.899993896484,356.700012207031,7344112,351.895660400391
