"","ABB.NS.Open","ABB.NS.High","ABB.NS.Low","ABB.NS.Close","ABB.NS.Volume","ABB.NS.Adjusted"
"229",1254.61535644531,1254.796875,1237.00280761719,1246.21765136719,24683,1202.80615234375
"230",1240.95202636719,1270.91137695312,1228.37817382812,1251.34704589844,54793,1207.75646972656
"231",1259.15466308594,1279.1728515625,1248.44189453125,1267.27990722656,61052,1223.13452148438
"232",1251.48315429688,1286.29956054688,1242.90393066406,1268.05163574219,88064,1223.87939453125
"233",1261.69665527344,1288.02453613281,1252.84497070312,1270.95678710938,63494,1226.68322753906
"234",1290.97509765625,1315.4873046875,1268.55090332031,1298.14709472656,205421,1252.92651367188
"235",1315.94116210938,1325.47375488281,1296.42224121094,1306.09094238281,92886,1260.59362792969
"236",1305.046875,1310.94799804688,1275.5869140625,1298.32873535156,47630,1253.10168457031
"237",1320.75280761719,1329.10510253906,1261.92358398438,1270.68444824219,458848,1226.42053222656
"238",1270.04895019531,1270.04895019531,1199.41748046875,1211.0380859375,602448,1168.85180664062
"239",1201.09704589844,1235.86804199219,1162.14990234375,1211.17431640625,796046,1168.98352050781
"240",1220.88842773438,1221.478515625,1176.94799804688,1193.0625,274938,1151.50244140625
"241",1193.83422851562,1202.91271972656,1175.67700195312,1182.66748046875,213522,1141.46960449219
"242",1184.1201171875,1196.55773925781,1179.30847167969,1182.16821289062,72811,1140.98779296875
"243",1181.30578613281,1196.55773925781,1166.59838867188,1175.94934082031,138249,1134.9853515625
"244",1189.294921875,1201.09704589844,1182.44055175781,1188.38708496094,80301,1146.98986816406
"245",1198.328125,1201.41479492188,1188.43237304688,1192.29077148438,55788,1150.75769042969
"246",1193.83422851562,1221.02453613281,1185.57263183594,1213.580078125,114838,1171.30541992188
"247",1211.99133300781,1213.580078125,1191.29223632812,1197.64721679688,72796,1155.92749023438
"248",1198.37353515625,1207.45202636719,1190.47509765625,1197.69262695312,62468,1155.97131347656
"249",1197.37487792969,1207.45202636719,1182.21362304688,1188.34167480469,56553,1146.94616699219
"250",1193.74340820312,1197.42028808594,1176.2216796875,1183.53002929688,58653,1142.30200195312
"251",1196.33081054688,1196.33081054688,1179.30847167969,1181.85046386719,33171,1140.68090820312
"252",1186.5712890625,1188.43237304688,1172.95349121094,1179.67163085938,44003,1138.578125
"253",1187.20678710938,1193.1533203125,1173.49816894531,1179.85314941406,54070,1138.75317382812
"254",1181.30578613281,1183.84777832031,1178.89990234375,1180.76098632812,25099,1139.62939453125
"255",1184.75561523438,1232.8720703125,1184.71020507812,1221.61462402344,177402,1179.05993652344
"256",1225.60925292969,1232.32739257812,1181.21496582031,1186.88903808594,119975,1145.54418945312
"257",1189.294921875,1204.45617675781,1155.25024414062,1174.04284667969,118002,1133.1455078125
"258",1165.41821289062,1180.21630859375,1162.55847167969,1168.82263183594,59285,1128.10705566406
"259",1168.41418457031,1177.49267578125,1161.24206542969,1168.14184570312,48524,1127.44995117188
"260",1171.1376953125,1175.04150390625,1156.61193847656,1158.51843261719,35395,1118.16174316406
"261",1163.14855957031,1182.93994140625,1157.51989746094,1163.05773925781,245561,1122.54296875
"262",1165.69055175781,1195.46838378906,1162.92163085938,1188.52319335938,239930,1147.12121582031
"263",1188.52319335938,1191.8369140625,1171.1376953125,1174.04284667969,26729,1133.1455078125
"264",1178.71838378906,1178.9453125,1134.82336425781,1142.40393066406,159506,1102.60852050781
"265",1148.39587402344,1156.61193847656,1130.51098632812,1138.99951171875,37819,1099.32275390625
"266",1140.2705078125,1147.896484375,1100.32470703125,1121.34167480469,67321,1082.28002929688
"267",1123.97448730469,1147.53344726562,1109.44873046875,1142.9033203125,235088,1103.09057617188
"268",1144.08349609375,1169.95751953125,1128.46838378906,1148.12353515625,82500,1108.12902832031
"269",1143.90197753906,1169.41284179688,1136.00354003906,1155.06860351562,88732,1114.83215332031
"270",1171.1376953125,1175.67700195312,1144.80981445312,1154.97778320312,107796,1114.74462890625
"271",1155.84033203125,1174.99609375,1141.85925292969,1155.97644042969,102593,1115.70837402344
"272",1157.61059570312,1174.72375488281,1136.63903808594,1141.85925292969,83967,1102.08288574219
"273",1145.21838378906,1157.47448730469,1138.50024414062,1143.81115722656,74708,1103.96691894531
"274",1145.71765136719,1167.50622558594,1142.994140625,1149.80310058594,46269,1109.74987792969
"275",1151.07409667969,1159.24475097656,1136.63903808594,1139.49890136719,50995,1099.80480957031
"276",1145.71765136719,1145.71765136719,1108.49548339844,1120.11608886719,55727,1081.09729003906
"277",1129.55773925781,1148.44128417969,1113.94262695312,1137.68310546875,44666,1098.05212402344
"278",1143.90197753906,1158.38232421875,1119.84375,1142.26782226562,377954,1102.47717285156
