"","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
"1075",1223.30004882812,1241.09997558594,1203.25,1229.25,612932,1210.24780273438
"1076",1225,1237.55004882812,1190.5,1199.55004882812,684197,1181.00708007812
"1077",1215,1256.30004882812,1206,1234.94995117188,925407,1215.85974121094
"1078",1236,1248.94995117188,1227.80004882812,1236,335027,1216.8935546875
"1079",1241.05004882812,1257.94995117188,1230.34997558594,1252.65002441406,594675,1233.2861328125
"1080",1253,1276.19995117188,1238.55004882812,1242.5,729101,1223.29296875
"1081",1218.09997558594,1227.30004882812,1196.30004882812,1215.05004882812,793986,1196.26745605469
"1082",1223,1257.15002441406,1223,1229.34997558594,586525,1210.34631347656
"1083",1232,1274,1230.94995117188,1245.44995117188,597894,1226.19750976562
"1084",1250,1256.30004882812,1210.59997558594,1217.69995117188,366642,1198.87634277344
"1085",1220,1241.94995117188,1205.15002441406,1229.44995117188,761679,1210.44482421875
"1086",1239,1241,1165.80004882812,1172.75,1375381,1154.62145996094
"1087",1172.80004882812,1192,1150,1181.34997558594,1235041,1163.08825683594
"1088",1187,1226.90002441406,1187,1217.59997558594,615374,1198.77783203125
"1089",1215,1217.44995117188,1195.15002441406,1201.80004882812,2007784,1183.22229003906
"1090",1197.25,1210.90002441406,1182.59997558594,1191.15002441406,1027857,1172.73693847656
"1091",1188,1190.55004882812,1169.25,1171.19995117188,1052575,1153.09521484375
"1092",1181,1184.69995117188,1153.15002441406,1156.15002441406,2326132,1138.27795410156
"1093",1156.15002441406,1163.69995117188,1142.5,1149.15002441406,332039,1131.38610839844
"1094",1139.69995117188,1149.90002441406,1112.15002441406,1132.84997558594,638957,1115.33801269531
"1095",1134.19995117188,1147.09997558594,1099.5,1109.09997558594,1469147,1091.95520019531
"1096",1101.5,1141.94995117188,1092.30004882812,1132.05004882812,1870191,1114.55041503906
"1097",1124,1141.59997558594,1106.59997558594,1123.44995117188,901223,1106.08325195312
"1098",1109.69995117188,1109.69995117188,1078.69995117188,1092.55004882812,500303,1075.66125488281
"1099",1090,1125.94995117188,1086.94995117188,1122.5,1446380,1109.71875
"1100",1125,1129.80004882812,1107,1113.59997558594,412426,1100.92004394531
"1101",1126,1127.80004882812,1085.30004882812,1093.40002441406,478120,1080.95007324219
"1102",1082,1103.94995117188,1063.59997558594,1069.65002441406,1136315,1057.470703125
"1103",1069.65002441406,1085,1057.44995117188,1071.19995117188,602545,1059.0029296875
"1104",1093,1108.5,1074,1105.94995117188,590641,1093.35729980469
"1105",1100,1106.44995117188,1090.25,1101.25,410868,1088.71069335938
"1106",1105,1111,1084.5,1096.65002441406,846567,1084.1630859375
"1107",1104.94995117188,1112.90002441406,1087.05004882812,1106.84997558594,2337913,1094.24694824219
"1108",1116.55004882812,1119.94995117188,1097,1102.40002441406,691858,1089.84777832031
"1109",1103,1109.25,1075.19995117188,1106.55004882812,913805,1093.95043945312
"1110",1085.19995117188,1109,1084,1098.59997558594,933631,1086.0908203125
"1111",1098,1108,1086.94995117188,1098.19995117188,1374865,1085.69543457031
"1112",1099.84997558594,1120,1092.25,1111.25,1848135,1098.59692382812
"1113",1111.15002441406,1136.09997558594,1109.94995117188,1133.09997558594,693543,1120.19799804688
"1114",1139.40002441406,1163.84997558594,1135.19995117188,1157.09997558594,1358545,1143.9248046875
"1115",1162.80004882812,1200,1159,1197.19995117188,1415708,1183.56811523438
"1116",1198.94995117188,1231.80004882812,1194.55004882812,1222.05004882812,1067111,1208.13525390625
"1117",1224.94995117188,1233.19995117188,1210.15002441406,1218.59997558594,488079,1204.72448730469
"1118",1216,1228.19995117188,1211.15002441406,1224.30004882812,355695,1210.35974121094
"1119",1221.80004882812,1223.55004882812,1212.15002441406,1220.90002441406,356739,1206.99841308594
"1120",1234,1243,1222.59997558594,1228.55004882812,699876,1214.5615234375
"1121",1234.69995117188,1249,1230.40002441406,1241.75,501292,1227.61096191406
"1122",1247,1259.80004882812,1244,1255.59997558594,377925,1241.30322265625
"1123",1260.5,1265,1248.75,1262.30004882812,519695,1247.92700195312
"1124",1257.80004882812,1276,1252.40002441406,1258.69995117188,907167,1244.36804199219
"1125",1270.05004882812,1276.69995117188,1216.5,1223.25,1405925,1209.32153320312
"1126",1200,1260,1197.30004882812,1257,2812165,1242.68737792969
"1127",1249.59997558594,1259.90002441406,1218.40002441406,1226.44995117188,1380188,1212.48522949219
"1128",1220.15002441406,1230.75,1190.19995117188,1226.30004882812,1023851,1212.3369140625
"1129",1220,1225.59997558594,1206.65002441406,1210.55004882812,710968,1196.76623535156
"1130",1207,1225.69995117188,1200.05004882812,1221,693406,1207.09716796875
"1131",1215,1233.80004882812,1202.25,1225.25,885351,1211.298828125
"1132",1228.5,1252.90002441406,1227.09997558594,1249.34997558594,1027274,1235.12451171875
"1133",1258.80004882812,1293,1248.94995117188,1287.90002441406,1026659,1273.23559570312
"1134",1289,1307.94995117188,1275,1290.19995117188,1040083,1275.50915527344
"1135",1290,1303.75,1264.69995117188,1279.44995117188,912780,1264.88171386719
"1136",1280.44995117188,1316.80004882812,1272,1309.90002441406,957136,1294.98498535156
"1137",1315,1321,1283,1289.40002441406,1078846,1274.71838378906
"1138",1296.80004882812,1308,1286,1304.94995117188,576588,1290.09143066406
"1139",1305,1316.94995117188,1295.30004882812,1309,547484,1294.09521484375
"1140",1320,1324.90002441406,1299.25,1308.19995117188,492587,1293.30432128906
"1141",1310,1316,1293.80004882812,1297.15002441406,477595,1282.38024902344
"1142",1300,1316,1289.05004882812,1301.34997558594,781060,1286.53247070312
"1143",1301.34997558594,1352.80004882812,1290.75,1348.5,1200211,1333.14562988281
"1144",1348,1362.94995117188,1342.65002441406,1358,884432,1342.53735351562
"1145",1365,1370,1332.5,1350,864242,1334.62829589844
"1146",1344,1344,1282.40002441406,1287.15002441406,858252,1272.494140625
"1147",1275.05004882812,1297,1275.05004882812,1291.65002441406,537982,1276.94287109375
"1148",1290,1305,1289.80004882812,1299.09997558594,379795,1284.30798339844
"1149",1300,1329.34997558594,1296,1311.15002441406,548190,1296.220703125
"1150",1315.30004882812,1328.5,1308.69995117188,1323.65002441406,417728,1308.57849121094
"1151",1288,1347.5,1288,1343.5,1011777,1328.20239257812
"1152",1350,1396.44995117188,1348.09997558594,1391.5,1448064,1375.65576171875
"1153",1385.59997558594,1399,1374.5,1384.94995117188,529228,1369.18054199219
"1154",1395,1405.55004882812,1375,1382.30004882812,688481,1366.56066894531
"1155",1386.09997558594,1402,1366.40002441406,1379.80004882812,459330,1364.08911132812
"1156",1380,1389.84997558594,1370,1378.34997558594,281833,1362.65551757812
"1157",1372,1388.69995117188,1361.30004882812,1367.40002441406,373109,1351.83032226562
"1158",1372,1372.69995117188,1344.25,1348.90002441406,380987,1333.541015625
"1159",1364.5,1364.5,1330.30004882812,1346.09997558594,321642,1330.77282714844
