"","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
"947",141.487503051758,143.4375,138.862503051758,139.125,10946890,116.62100982666
"948",139.125,140.475006103516,137.25,137.962493896484,13957727,115.646553039551
"949",138.712493896484,139.387496948242,138.1875,138.787506103516,830214,116.338096618652
"950",140.699996948242,142.762496948242,138.449996948242,141.862503051758,11947323,118.915702819824
"951",142.762496948242,142.762496948242,138.975006103516,139.912506103516,10381150,117.281127929688
"952",139.462493896484,139.875,137.662506103516,138.300003051758,13857851,115.92945098877
"953",138.75,138.9375,135.524993896484,136.612503051758,8851354,114.514923095703
"954",137.774993896484,137.774993896484,135.225006103516,136.5,9590673,114.420600891113
"955",136.649993896484,141.5625,136.5,141.225006103516,24821341,118.381324768066
"956",141.75,143.512496948242,139.875,140.699996948242,23206330,117.941261291504
"957",140.25,145.350006103516,140.25,143.287506103516,18359498,120.110214233398
"958",143.887496948242,145.837493896484,143.287506103516,144.375,10742933,121.021781921387
"959",145.800003051758,147.75,144,145.649993896484,25095721,122.090545654297
"960",144.9375,151.800003051758,144.862503051758,151.387496948242,19671538,126.899993896484
"961",151.649993896484,155.587493896484,151.5,152.475006103516,18120478,127.811569213867
"962",151.949996948242,153.75,150.9375,153.1875,18537454,128.408828735352
"963",153.037506103516,153.712493896484,150.600006103516,151.5,12814537,126.994293212891
"964",149.25,153,148.875,150.1875,16066147,125.894119262695
"965",150.225006103516,157.125,150.225006103516,155.0625,37739647,129.980560302734
"966",155.25,156.5625,153.524993896484,155.399993896484,20332817,130.263473510742
"967",156.75,162,154.875,160.875,33758843,134.852874755859
"968",159.862503051758,162.337493896484,154.125,154.574996948242,47614182,129.571899414062
"969",155.512496948242,156,151.012496948242,151.5,11322446,126.994293212891
"970",151.949996948242,155.212493896484,151.612503051758,154.350006103516,8049102,129.383331298828
"971",153.862503051758,155.737503051758,152.662506103516,153.600006103516,8788449,128.754638671875
"972",154.125,154.837493896484,151.574996948242,152.399993896484,5755422,127.748710632324
"973",153.1875,153.1875,151.387496948242,151.987503051758,6164402,127.402946472168
"974",154.125,157.237503051758,152.774993896484,153.300003051758,21648126,128.503143310547
"975",153.074996948242,159.862503051758,152.399993896484,159.1875,48042035,133.438323974609
"976",159.824996948242,161.737503051758,155.850006103516,157.387496948242,15207306,131.929473876953
"977",158.550003051758,158.850006103516,154.725006103516,156.149993896484,13410737,130.892135620117
"978",156.149993896484,157.875,153.787506103516,157.462493896484,15209414,131.99235534668
"979",158.0625,159.487503051758,155.625,157.387496948242,22539246,131.929473876953
