"","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
"726",362,366.450012207031,356.299987792969,362.299987792969,6429901,343.884124755859
"727",363.600006103516,366.700012207031,357.600006103516,359.649993896484,4518654,341.368865966797
"728",363.950012207031,364.899993896484,356.299987792969,357.5,4927085,339.328155517578
"729",358,367,353.5,365.899993896484,5978528,347.301177978516
"730",370,372.5,364.5,370.600006103516,7762252,351.762298583984
"731",369.950012207031,373.350006103516,364.049987792969,366.200012207031,4501529,347.5859375
"732",368.299987792969,368.950012207031,357.700012207031,364.200012207031,5666541,345.687591552734
"733",361.600006103516,368.399993896484,344,353.5,7345501,335.531494140625
"734",353.75,364,346.149993896484,361.950012207031,7273802,343.551971435547
"735",361,367.700012207031,357.75,366.850006103516,4499725,348.202880859375
"736",367.899993896484,378.950012207031,365,366.25,8104991,347.633392333984
"737",369.700012207031,389,368.799987792969,386.600006103516,11720459,366.949005126953
"738",389.649993896484,389.649993896484,378.100006103516,381.799987792969,8144640,362.393005371094
"739",382.799987792969,387.899993896484,378.649993896484,386.100006103516,4637174,366.474426269531
"740",385.899993896484,393.899993896484,383,387.200012207031,7375061,367.518493652344
"741",387.25,391.5,384.600006103516,389.700012207031,4461761,369.891448974609
"742",392,405.100006103516,391.100006103516,403.100006103516,8872723,382.610321044922
"743",400,401,391.600006103516,395.25,6190435,375.159332275391
"744",397.200012207031,407.350006103516,395.75,401.700012207031,7910567,381.281463623047
"745",404,413.100006103516,403.149993896484,405.399993896484,10231006,384.793395996094
"746",410.299987792969,410.450012207031,398.5,402.850006103516,7559664,382.373016357422
"747",402.850006103516,404.950012207031,392.649993896484,399.049987792969,4822618,378.766174316406
"748",398.950012207031,412.950012207031,397.049987792969,399.549987792969,6708618,379.24072265625
"749",401.549987792969,407.399993896484,394.149993896484,402.950012207031,6885599,382.467956542969
"750",404.350006103516,405.649993896484,394,396.399993896484,4886430,376.250854492188
"751",398,402.549987792969,391.200012207031,394.200012207031,7329969,374.162719726562
"752",393.5,394,375.5,383.100006103516,10605461,363.626922607422
"753",386.200012207031,397.75,381.600006103516,395.399993896484,5842513,375.301696777344
"754",395,402.899993896484,393.450012207031,400.899993896484,5604951,380.522125244141
"755",402.5,405,388.950012207031,393.299987792969,7085945,373.308441162109
"756",396,397.450012207031,372.200012207031,375.399993896484,8779405,356.318298339844
"757",388,394.950012207031,371.450012207031,382.450012207031,17874949,363.009979248047
"758",380.600006103516,382,371.549987792969,376.25,8576326,357.125091552734
"759",371,380.850006103516,369.600006103516,376.299987792969,6969457,357.172546386719
"760",382.049987792969,382.549987792969,363.200012207031,366.850006103516,7981367,348.202880859375
"761",366.5,384.399993896484,363.649993896484,380.850006103516,6141212,361.491302490234
"762",384.649993896484,391.700012207031,376.700012207031,389,7450391,369.227020263672
"763",386.200012207031,398.450012207031,384.700012207031,392.899993896484,6063017,372.928802490234
"764",392.899993896484,402,390.450012207031,400.299987792969,6283280,379.952606201172
"765",403,406.600006103516,389.149993896484,402.200012207031,9008833,381.756072998047
"766",404.549987792969,419.25,401.200012207031,417.649993896484,9008722,396.420715332031
"767",417,420,401.850006103516,406.450012207031,7961747,385.7900390625
"768",410,413.950012207031,400,410.75,8008124,389.871490478516
"769",408.200012207031,415.5,404.950012207031,408.850006103516,3598146,388.068023681641
"770",407.850006103516,410.899993896484,402.600006103516,403.799987792969,4667663,383.274749755859
"771",405.100006103516,407.850006103516,401,403.700012207031,4678133,383.179840087891
"772",403.700012207031,421.899993896484,403.700012207031,407.649993896484,10594928,386.929016113281
"773",406.350006103516,411,401,408.700012207031,5486323,387.925689697266
"774",410,414.75,406,407.649993896484,5889983,386.929016113281
"775",408.100006103516,408.399993896484,390.950012207031,395.649993896484,4527644,375.538970947266
"776",396.149993896484,413.850006103516,396.149993896484,406.100006103516,9371697,385.457824707031
"777",410,416.200012207031,406.100006103516,412.600006103516,8127742,391.62744140625
"778",415,426.600006103516,400,408.100006103516,10570509,387.356140136719
"779",411,425,410,421.75,9051315,400.312347412109
"780",412.049987792969,421.299987792969,392.049987792969,395.450012207031,11433748,375.349151611328
"781",402.600006103516,408.450012207031,393.350006103516,405.100006103516,5834233,384.508666992188
"782",406.799987792969,414.950012207031,401,413.299987792969,5055665,392.291839599609
"783",415.299987792969,435,415.299987792969,428.149993896484,11903775,406.387023925781
"784",415.100006103516,421.399993896484,411.049987792969,414.100006103516,8655068,393.051177978516
"785",414.100006103516,414.100006103516,402.5,406.399993896484,7045618,385.742553710938
"786",411.950012207031,415.5,406.5,407.850006103516,4176709,387.118865966797
"787",412,414.75,396.799987792969,401.600006103516,5477847,381.186553955078
"788",406.549987792969,415.299987792969,403.5,414,6536253,392.956237792969
"789",418.149993896484,428.450012207031,414,418.75,13448994,397.464813232422
"790",422.899993896484,431.75,414.899993896484,429.649993896484,10146579,407.810760498047
"791",433.950012207031,433.950012207031,419.350006103516,425.950012207031,8103798,404.298858642578
"792",425.950012207031,425.950012207031,417.5,422.5,4738590,401.024230957031
"793",427,432.649993896484,420.100006103516,423.149993896484,6837030,401.641143798828
"794",420.100006103516,446.299987792969,410,440.549987792969,11116495,418.156707763672
"795",441,449,436.799987792969,445.299987792969,7010923,422.665283203125
