"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"526",1885.05004882812,1913.84997558594,1845.05004882812,1854.40002441406,511083,1739.76171875
"527",1854.44995117188,1869.34997558594,1829.15002441406,1838.80004882812,266476,1725.1259765625
"528",1848.40002441406,1904.69995117188,1841.40002441406,1889.40002441406,710576,1772.59777832031
"529",1895,1910,1853,1889.84997558594,550885,1773.01989746094
"530",1875.84997558594,1908.94995117188,1860.59997558594,1885.80004882812,369349,1769.22058105469
"531",1820,1874,1667.55004882812,1689.75,791185,1585.29028320312
"532",1697,1857.44995117188,1697,1790.65002441406,1411779,1679.95251464844
"533",1808.59997558594,1917.09997558594,1806.15002441406,1901.69995117188,1483311,1784.13720703125
"534",1906.40002441406,1985.75,1792.19995117188,1830.65002441406,905618,1717.47985839844
"535",1830,1880,1796.59997558594,1827.65002441406,435452,1714.66540527344
"536",1800,1801.34997558594,1736.65002441406,1788.05004882812,414794,1677.51354980469
"537",1765,1770,1631.65002441406,1660.90002441406,422201,1558.22375488281
"538",1667,1668,1595.09997558594,1625.90002441406,478474,1525.38732910156
"539",1479.55004882812,1551.30004882812,1401.65002441406,1439.65002441406,478525,1350.65124511719
"540",1296,1571.05004882812,1252.09997558594,1378.69995117188,400395,1293.46887207031
"541",1291,1341.94995117188,1228.25,1239.55004882812,277812,1162.92150878906
"542",1232.09997558594,1260,1170,1181.90002441406,465562,1108.83557128906
"543",1189.25,1209.94995117188,1102.05004882812,1119.25,432196,1050.05847167969
"544",1064,1099.80004882812,905.549987792969,1035.84997558594,863244,971.814208984375
"545",1139,1165,994.400024414062,1143.15002441406,646860,1072.48071289062
"546",1030,1074.94995117188,857.400024414062,864.200012207031,248231,810.775451660156
"547",911.849975585938,1080.25,735.349975585938,1018.95001220703,1063694,955.958862304688
"548",986,1273.65002441406,970.049987792969,1242.94995117188,843374,1166.11120605469
"549",1253.19995117188,1367.19995117188,1150.09997558594,1169.19995117188,1257909,1096.92041015625
"550",1180,1275,1160.5,1201.25,663878,1126.9892578125
"551",1150,1201,1103.15002441406,1131.15002441406,533300,1061.22265625
"552",1201,1217,1131.34997558594,1147.75,330841,1076.79650878906
"553",1135,1205,1066.40002441406,1164.09997558594,337957,1092.13586425781
"554",1171.09997558594,1182,1011.04998779297,1037.55004882812,512848,973.409057617188
"555",1071,1116.15002441406,1042,1102.55004882812,328969,1034.39074707031
"556",1100,1159.30004882812,1062.5,1101,349997,1032.93676757812
"557",1116.15002441406,1151.5,1104,1110.84997558594,259795,1042.17761230469
"558",1100,1110,1061.34997558594,1075.34997558594,210552,1008.87237548828
"559",1115,1131,1071.40002441406,1092.30004882812,506393,1024.77453613281
"560",1080,1115,1054.19995117188,1079.09997558594,452680,1012.39025878906
"561",1101,1164.5,1101,1112.19995117188,475912,1043.44421386719
"562",1125,1136.90002441406,1080,1088.34997558594,525607,1021.06854248047
"563",1075,1075,1028.5,1040.84997558594,349913,976.504943847656
"564",1042,1099,1019.40002441406,1080.75,378375,1013.93853759766
"565",1083.5,1220.15002441406,1083.5,1178.65002441406,864933,1105.78637695312
"566",1181,1199,1085.25,1116.09997558594,945000,1047.10314941406
"567",1130,1173.80004882812,1078.30004882812,1121.5,1040984,1052.16918945312
"568",1140,1215.90002441406,1136.75,1178.90002441406,1441303,1106.02075195312
"569",1185,1247,1161.75,1181.84997558594,1396986,1108.78845214844
"570",1205,1245.44995117188,1192.90002441406,1203.44995117188,657718,1129.05297851562
"571",1166,1225,1152.09997558594,1181.5,900464,1108.46008300781
"572",1205,1235,1174.75,1189.75,801208,1116.19995117188
"573",1234.90002441406,1448,1225.5,1418.80004882812,5148441,1331.09020996094
"574",1401,1414.34997558594,1350.15002441406,1373.84997558594,1354819,1288.91906738281
"575",1385,1431.94995117188,1360.09997558594,1402.55004882812,1296520,1315.84460449219
"576",1405.05004882812,1465.94995117188,1400,1436.59997558594,821359,1347.78991699219
"577",1420,1454.90002441406,1396.09997558594,1431,649246,1342.53601074219
"578",1488,1488,1408.05004882812,1419.25,395733,1331.51257324219
"579",1401,1404.94995117188,1326.15002441406,1345.40002441406,435909,1272.08715820312
"580",1354.94995117188,1375,1334.09997558594,1358.65002441406,361711,1284.61535644531
"581",1369.84997558594,1390.94995117188,1330.19995117188,1344.34997558594,746100,1271.09436035156
"582",1354.25,1407,1348.55004882812,1373.80004882812,700013,1298.93957519531
"583",1375,1424,1370,1415.15002441406,456700,1338.03662109375
"584",1416,1452,1396,1442.25,439231,1363.65966796875
"585",1451,1573,1450,1507.05004882812,2494192,1424.9287109375
"586",1481.15002441406,1526.34997558594,1462.19995117188,1485.5,598598,1404.55261230469
"587",1486,1513.65002441406,1468,1493.84997558594,650710,1412.44787597656
"588",1499.05004882812,1511.34997558594,1456.94995117188,1472.90002441406,472136,1392.6396484375
"589",1478.40002441406,1497,1445.15002441406,1451.69995117188,547181,1372.5947265625
"590",1461.09997558594,1503,1446.5,1450.94995117188,626997,1371.88549804688
"591",1465.59997558594,1486.59997558594,1448.5,1457.59997558594,457703,1378.17309570312
"592",1478,1488,1440.5,1444.15002441406,627595,1365.45617675781
"593",1444.15002441406,1459.84997558594,1430.15002441406,1445.30004882812,368932,1366.54357910156
"594",1454,1517.90002441406,1451.05004882812,1468.15002441406,1153836,1388.14831542969
