"","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
"1118",856.799987792969,863,851.099975585938,857.25,1768048,837.641845703125
"1119",853,860,849,851.599975585938,1695338,832.12109375
"1120",854.599975585938,863.25,849.349975585938,860.150024414062,2663538,840.475524902344
"1121",867.400024414062,882.950012207031,864.200012207031,879.900024414062,4934156,859.773803710938
"1122",884.900024414062,884.950012207031,872.849975585938,878.400024414062,1413559,858.308166503906
"1123",888.599975585938,895.599975585938,878.549987792969,882.799987792969,2866600,862.607360839844
"1124",880,891.299987792969,873.5,875.299987792969,1604458,855.278991699219
"1125",884.700012207031,884.700012207031,862.049987792969,867.5,2885666,847.657409667969
"1126",872,877.900024414062,863.700012207031,869.650024414062,2321107,849.758239746094
"1127",871,876.150024414062,866.5,874.5,1939758,854.497253417969
"1128",870,878,856.400024414062,868.349975585938,2419358,848.487915039062
"1129",869.200012207031,877.400024414062,862,867.650024414062,1560211,847.804077148438
"1130",867.5,897,866.049987792969,894,2797789,873.55126953125
"1131",896,896.849975585938,878.75,894.849975585938,3183169,874.3818359375
"1132",897,951.950012207031,879,943.200012207031,11315800,921.6259765625
"1133",939.950012207031,939.950012207031,910,918.700012207031,4219890,897.686279296875
"1134",918.700012207031,926.599975585938,912.049987792969,917.25,2043767,896.26953125
"1135",915,917.799987792969,893.549987792969,897,2863168,876.482666015625
"1136",901,920,895.599975585938,918.5,3151481,897.490844726562
"1137",919.5,929,911.900024414062,915.950012207031,3317738,894.999206542969
"1138",919.799987792969,919.799987792969,908.400024414062,910.400024414062,2677742,889.576171875
"1139",913.200012207031,927,913.200012207031,919.700012207031,3077870,898.663391113281
"1140",923,926.900024414062,917.450012207031,921.049987792969,1526395,899.982543945312
"1141",921.049987792969,922.799987792969,907.150024414062,913.450012207031,1384417,892.556335449219
"1142",907,919.450012207031,906.299987792969,914.599975585938,1635836,893.680053710938
"1143",919,926,915,920.799987792969,1828327,899.73828125
"1144",910,919,895.200012207031,916.75,2989998,895.780883789062
"1145",916,920.799987792969,898,901.349975585938,1708425,883.624694824219
