"","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
"1330",986.950012207031,994,975.5,987.200012207031,667367,956.834228515625
"1331",987,994,980,981.900024414062,627065,951.697265625
"1332",984.200012207031,998.650024414062,975,987.099975585938,728156,956.7373046875
"1333",988.450012207031,989.650024414062,946.049987792969,956.700012207031,1620350,927.272399902344
"1334",960,972.25,955,970.25,702059,940.405639648438
"1335",972.299987792969,975.849975585938,967.650024414062,971.849975585938,456813,941.956359863281
"1336",974.400024414062,975,963.5,969.099975585938,477951,939.290954589844
"1337",971,972.5,964,970.599975585938,710320,940.744812011719
"1338",972,976.900024414062,966.150024414062,968.950012207031,414830,939.145629882812
"1339",970,979.400024414062,968,969.799987792969,516827,939.969421386719
"1340",979.599975585938,1017.95001220703,976.849975585938,995.549987792969,5155439,964.927368164062
"1341",1000,1007.09997558594,988.799987792969,993.75,966295,963.182739257812
"1342",997.450012207031,1000,991.299987792969,994.75,485131,964.151977539062
"1343",999,1015,997.049987792969,1003.25,1389967,972.390502929688
"1344",1004,1008.09997558594,981.150024414062,985.950012207031,959079,955.622680664062
"1345",990,991.849975585938,983.150024414062,987.75,601656,957.367309570312
"1346",990,1006,989.049987792969,1000.04998779297,1236924,969.288940429688
"1347",973.950012207031,981.900024414062,957.900024414062,977.950012207031,3249390,964.751098632812
"1348",969,970.799987792969,953.5,958.5,3592424,945.563598632812
"1349",959,972.75,956,970.950012207031,1397816,957.845581054688
"1350",972.400024414062,980,967.799987792969,978.450012207031,1155057,965.244323730469
"1351",980,986,974.049987792969,983.5,1267022,970.226196289062
"1352",988.450012207031,999,977.150024414062,997.200012207031,1757441,983.741271972656
"1353",1003.5,1009.79998779297,992.200012207031,1004.54998779297,1685291,990.992065429688
"1354",1008.90002441406,1009,976.400024414062,980.049987792969,1289496,966.82275390625
"1355",981.950012207031,997,970.049987792969,993.950012207031,962543,980.53515625
"1356",993.950012207031,1020,993.950012207031,1006.25,2034613,992.669128417969
"1357",1010,1015.65002441406,993.049987792969,996.25,1118507,982.804077148438
"1358",1002,1007.45001220703,993.049987792969,1001.40002441406,892662,987.884582519531
"1359",1004,1016.5,1001,1008.04998779297,817032,994.44482421875
"1360",1010.59997558594,1029,1004.84997558594,1006.84997558594,2029338,993.260986328125
"1361",1010,1016.5,1003.54998779297,1007.34997558594,612300,993.754272460938
"1362",1009.40002441406,1018,1004.65002441406,1012.79998779297,566109,999.130737304688
"1363",1014.09997558594,1026,995.5,1002.20001220703,1235538,988.673828125
"1364",1006,1007,981.75,996.299987792969,1102693,982.853393554688
"1365",998,999,986,992.25,938584,978.858093261719
"1366",993.200012207031,998.200012207031,982,983.450012207031,827540,970.176879882812
"1367",987.400024414062,990.5,971.400024414062,977,908833,963.813903808594
"1368",979,990.599975585938,977,983.5,935472,970.226196289062
"1369",986.900024414062,995.799987792969,984,993.650024414062,795781,980.239196777344
"1370",994,1006,990.25,997.849975585938,961824,984.382446289062
"1371",996,1004.75,993,997.75,520288,984.283874511719
"1372",1001.79998779297,1001.79998779297,990.450012207031,994.450012207031,565418,981.028381347656
"1373",992.849975585938,994,978.599975585938,987.650024414062,628105,974.320190429688
"1374",990,997,987,990.5,591437,977.131713867188
"1375",994.5,995,975,977.099975585938,1065233,963.912536621094
"1376",977.099975585938,1002,977.099975585938,998.200012207031,1543349,984.727783203125
"1377",1003.20001220703,1006,986.150024414062,993.650024414062,1019601,980.239196777344
"1378",999,1053.94995117188,997.450012207031,1051.05004882812,5379672,1036.86450195312
"1379",1060.30004882812,1071.80004882812,1051.05004882812,1059.34997558594,1732206,1045.05249023438
"1380",1064.19995117188,1083.59997558594,1059.5,1072.90002441406,1489507,1058.41955566406
"1381",1059.94995117188,1059.94995117188,1027.05004882812,1041.40002441406,1742065,1027.3447265625
"1382",1040,1046.84997558594,1030.05004882812,1039.5,643369,1025.47033691406
"1383",1046.5,1058.80004882812,1042.30004882812,1047.44995117188,905449,1033.31298828125
"1384",1055.05004882812,1062,1035.09997558594,1039.19995117188,704409,1025.17431640625
"1385",1010,1031.94995117188,1002.29998779297,1010.34997558594,2803220,996.713745117188
"1386",1009,1014.20001220703,987.400024414062,1010.20001220703,2504277,996.565856933594
"1387",1012,1015.90002441406,1003.84997558594,1008.04998779297,694086,994.44482421875
"1388",1009,1017.04998779297,1002,1005.70001220703,821837,992.126586914062
"1389",1006,1007,988.200012207031,1001.65002441406,650309,988.131225585938
"1390",999.5,1000.40002441406,988.5,990.700012207031,556999,977.329040527344
"1391",992.599975585938,1000,988.5,991.400024414062,704109,978.019592285156
"1392",992.700012207031,1002,982,998.5,694939,985.023742675781
"1393",998.5,1006,996.200012207031,1001.04998779297,583175,987.539306640625
"1394",1007,1008,1000,1004,426545,990.449523925781
"1395",1009,1015.84997558594,1003.5,1004.65002441406,633794,991.090759277344
"1396",1010.04998779297,1017.40002441406,1004.15002441406,1015.65002441406,575632,1001.94226074219
"1397",1017,1021,1000,1011.25,1015895,997.601623535156
"1398",1015,1041,1005.75,1035.75,1955741,1021.77099609375
"1399",1041,1077,1040,1066.90002441406,3555138,1052.50061035156
"1400",1076.94995117188,1079.84997558594,1056.75,1059.69995117188,907511,1045.39770507812
"1401",1063.59997558594,1072,1052.59997558594,1061.44995117188,628121,1047.1240234375
"1402",1065,1076,1061.80004882812,1071.15002441406,591330,1056.69323730469
"1403",1075.15002441406,1098,1070.5,1089.75,1378530,1075.04211425781
"1404",1096.30004882812,1110.84997558594,1092.15002441406,1103.75,1233591,1088.85327148438
"1405",1106,1107,1078.19995117188,1090.09997558594,642702,1075.38745117188
"1406",1095,1096.19995117188,1078.19995117188,1086.15002441406,665262,1071.49072265625
"1407",1086.19995117188,1094.30004882812,1081.59997558594,1085.30004882812,473019,1070.65222167969
"1408",1086,1098,1080.09997558594,1085.90002441406,511237,1071.244140625
"1409",1085.90002441406,1090.90002441406,1043,1046.09997558594,868126,1031.98132324219
"1410",1050,1063.05004882812,1038.05004882812,1052.90002441406,745777,1038.68957519531
"1411",1059,1077.15002441406,1057.30004882812,1074.55004882812,610424,1060.04736328125
"1412",1077,1081.5,1063.34997558594,1070.44995117188,646144,1056.00256347656
"1413",1070.05004882812,1071.09997558594,1056.15002441406,1057.90002441406,337323,1043.6220703125
"1414",1056.15002441406,1056.15002441406,1039.30004882812,1047.80004882812,591699,1033.65844726562
"1415",1047.80004882812,1050.44995117188,1030.09997558594,1034.80004882812,618526,1020.83386230469
"1416",1039,1039.55004882812,1022.04998779297,1035.80004882812,486756,1021.82037353516
"1417",1042,1048.34997558594,1034,1045.30004882812,612625,1031.19213867188
"1418",1045.30004882812,1049.44995117188,1035.05004882812,1036.94995117188,268848,1022.95471191406
"1419",1041.94995117188,1050,1035.90002441406,1043.5,461560,1029.41638183594
"1420",1036,1049.75,1011.70001220703,1016.15002441406,622778,1002.435546875
"1421",1020.95001220703,1038.69995117188,1018.79998779297,1031.19995117188,340818,1017.28234863281
"1422",1032.94995117188,1032.94995117188,1022.04998779297,1025.09997558594,227220,1011.26470947266
"1423",1024.84997558594,1024.84997558594,1000,1011.25,457424,997.601623535156
"1424",1018.90002441406,1025,1006,1009.29998779297,286411,995.677978515625
"1425",1012,1014.79998779297,1005.29998779297,1012.75,348344,999.081420898438
"1426",1005,1011,996.349975585938,1004.34997558594,405937,990.794738769531
"1427",1008,1023,1008,1016.79998779297,366136,1003.07672119141
"1428",1042,1063,1033,1036.09997558594,2758083,1022.1162109375
"1429",1042.94995117188,1043,1030,1038.84997558594,465767,1024.8291015625
"1430",1035.94995117188,1045.55004882812,1027,1035.09997558594,409241,1021.12969970703
"1431",1034.90002441406,1050,1032,1040.84997558594,583658,1026.80212402344
"1432",1045.05004882812,1051,1042,1045.30004882812,536501,1031.19213867188
"1433",1047,1050.69995117188,1032.30004882812,1044.25,976236,1030.15625
"1434",1044,1044,1019.65002441406,1031.25,734831,1017.33172607422
"1435",1025,1034.15002441406,1010,1011.70001220703,588202,998.045593261719
"1436",1014,1017.15002441406,975.049987792969,978.5,825192,965.293640136719
"1437",980,992,962,963.599975585938,729081,950.5947265625
"1438",962,963,935,940.700012207031,1061128,928.003845214844
"1439",951.799987792969,959.75,947.049987792969,955.75,404416,942.850708007812
"1440",955,961,948.5,950.5,406988,937.671569824219
"1441",957.950012207031,964.75,952,959.200012207031,432972,946.254150390625
"1442",958.5,960,949,950.349975585938,363571,937.523559570312
"1443",956,960.450012207031,953.25,959.049987792969,230632,946.106140136719
"1444",963.950012207031,964.950012207031,956.849975585938,958.599975585938,280436,945.662231445312
"1445",965,978.900024414062,965,973.349975585938,400869,960.213134765625
"1446",975.950012207031,975.950012207031,961,963.700012207031,547913,950.693420410156
"1447",960.200012207031,968.599975585938,954.150024414062,958.450012207031,910691,945.514282226562
"1448",961,963.900024414062,955.400024414062,959.099975585938,462572,946.155456542969
"1449",958,967.299987792969,952.599975585938,963.950012207031,436075,950.940063476562
"1450",953.900024414062,963,945.200012207031,946.650024414062,1293837,933.87353515625
"1451",955,955.549987792969,948.099975585938,949.549987792969,463515,936.734375
"1452",951.5,957.599975585938,948.299987792969,954.200012207031,510001,941.321655273438
"1453",951.549987792969,969.099975585938,951.549987792969,963.400024414062,824095,950.3974609375
"1454",963.700012207031,967.900024414062,953,955.700012207031,390897,942.801391601562
"1455",957,971,957,961.299987792969,385963,948.325805664062
"1456",964,967.5,951.049987792969,960.450012207031,456965,947.4873046875
"1457",960.450012207031,971.400024414062,960,965.650024414062,722824,952.617126464844
"1458",967,968.900024414062,958,960.599975585938,410255,947.635192871094
"1459",960.599975585938,971.950012207031,958.599975585938,968.549987792969,542859,955.477905273438
"1460",969.950012207031,974,967.049987792969,972.549987792969,458992,959.423950195312
"1461",971.700012207031,972.950012207031,962,970.450012207031,810025,957.352294921875
"1462",970.299987792969,980.700012207031,966.049987792969,969.950012207031,603363,956.859069824219
"1463",979,979,971,973.049987792969,599063,959.917175292969
"1464",975,985.099975585938,973.5,983.200012207031,1291543,969.930236816406
"1465",995,1029.90002441406,995,1011.90002441406,4017068,998.242919921875
"1466",1019.79998779297,1025.25,1008.09997558594,1018.25,796187,1004.50714111328
"1467",1024.65002441406,1027.25,990,996.849975585938,1179751,983.39599609375
"1468",1004.95001220703,1026.19995117188,999.5,1018.04998779297,1163115,1004.30987548828
"1469",1024.09997558594,1025,1001.40002441406,1005.75,942123,992.175903320312
"1470",1011.79998779297,1015,1001.20001220703,1006.75,592127,993.162353515625
"1471",1011,1019.29998779297,1006.20001220703,1008.40002441406,1124981,994.790161132812
"1472",1024.75,1044.90002441406,1012.25,1030,2655928,1016.09857177734
"1473",1034.69995117188,1042.84997558594,1027,1034.19995117188,896701,1020.24188232422
"1474",1040,1041,1021.09997558594,1033.25,608182,1019.30474853516
"1475",1033.5,1049.90002441406,985,988.599975585938,1651350,975.25732421875
"1476",988.599975585938,1012,980,1009.65002441406,813289,996.023254394531
"1477",1016,1041,1012.5,1022.04998779297,1179769,1008.255859375
"1478",1027,1102,1020.70001220703,1094.25,7243281,1079.4814453125
"1479",1100,1102.84997558594,1077.15002441406,1089.84997558594,1984857,1075.14074707031
"1480",1094.69995117188,1095,1079.05004882812,1086.59997558594,1387134,1071.93469238281
"1481",1092,1123,1083.55004882812,1104.09997558594,2522155,1089.19848632812
"1482",1113,1134.90002441406,1106.25,1117.84997558594,1851611,1102.76293945312
"1483",1117.90002441406,1139.5,1101,1122.34997558594,1578917,1107.2021484375
"1484",1122.30004882812,1129.55004882812,1097,1112.65002441406,1404894,1097.63317871094
"1485",1117.05004882812,1137.94995117188,1113,1131.55004882812,867201,1116.27807617188
"1486",1139.94995117188,1141,1094.25,1104.69995117188,1608206,1089.79040527344
"1487",1109,1110.80004882812,1082.15002441406,1099.05004882812,1206551,1084.21667480469
"1488",1102,1118,1097.19995117188,1104.15002441406,920494,1089.24780273438
"1489",1105.05004882812,1108.55004882812,1088,1097.34997558594,389257,1082.53955078125
