"","ALKEM.NS.Open","ALKEM.NS.High","ALKEM.NS.Low","ALKEM.NS.Close","ALKEM.NS.Volume","ALKEM.NS.Adjusted"
"1373",3685.39990234375,3711.69995117188,3651.10009765625,3700.94995117188,255522,3664.63623046875
"1374",3709.94995117188,3794.89990234375,3693.64990234375,3781.80004882812,227440,3744.69311523438
"1375",3800,3987.30004882812,3781.89990234375,3950.64990234375,720563,3911.88623046875
"1376",3936.64990234375,4030,3914.69995117188,4004.89990234375,313896,3965.60400390625
"1377",4002.5,4050,3996,4028.35009765625,365382,3988.82397460938
"1378",4005.10009765625,4042.55004882812,3950.25,3995.69995117188,100588,3956.494140625
"1379",3985,4017.60009765625,3965.80004882812,3978.75,89261,3939.71044921875
"1380",3978.75,4009.75,3960.94995117188,3986.5,140866,3947.38452148438
"1381",3971,3973.5,3900,3935.5,88119,3896.884765625
"1382",3945,4082.69995117188,3927.10009765625,4023.39990234375,342605,3983.92236328125
"1383",4015.80004882812,4110,4004.19995117188,4099,298023,4058.78076171875
"1384",4149,4168.7001953125,4055.35009765625,4131.85009765625,145189,4091.30834960938
"1385",4149.85009765625,4169.9501953125,4086.94995117188,4131.85009765625,132221,4091.30834960938
"1386",4131,4234.89990234375,4130.60009765625,4227.25,333285,4185.7724609375
"1387",4233.89990234375,4243,4107.0498046875,4141.39990234375,229756,4110.48828125
"1388",4100.5,4123,3800.05004882812,3822.10009765625,941049,3793.57177734375
"1389",3829.89990234375,3845,3745.05004882812,3795.44995117188,128454,3767.12060546875
"1390",3785,3819.94995117188,3746.19995117188,3794.69995117188,73525,3766.37622070312
"1391",3794,3815.89990234375,3768.35009765625,3789.64990234375,29622,3761.36376953125
"1392",3790,3808.94995117188,3694.05004882812,3801.30004882812,186925,3772.92700195312
"1393",3801.30004882812,3864,3784.5,3823.10009765625,92641,3794.564453125
"1394",3833.94995117188,3844.64990234375,3763.80004882812,3767.75,81156,3739.62744140625
"1395",3779.89990234375,3780.89990234375,3749.14990234375,3760.19995117188,38486,3732.13354492188
"1396",3760.19995117188,3791.94995117188,3700,3715.05004882812,76264,3687.32080078125
"1397",3715,3729.44995117188,3670.05004882812,3677.75,135710,3650.29907226562
"1398",3677.75,3756.94995117188,3666,3712.39990234375,137962,3684.6904296875
"1399",3719,3739,3691.55004882812,3702.19995117188,235050,3674.56665039062
"1400",3700.14990234375,3737.05004882812,3683,3693.85009765625,122505,3666.27905273438
"1401",3693.85009765625,3699.89990234375,3635,3642.85009765625,129929,3615.65966796875
"1402",3642.85009765625,3662,3606.60009765625,3614.75,247511,3587.76928710938
"1403",3619.5,3678.55004882812,3614.35009765625,3650.64990234375,53544,3623.4013671875
"1404",3669.89990234375,3673,3620,3646.10009765625,238994,3618.88549804688
"1405",3660,3706.94995117188,3633,3655.10009765625,173948,3627.818359375
"1406",3674,3700.55004882812,3632.5,3637.10009765625,182190,3609.95263671875
"1407",3655,3656.94995117188,3612.44995117188,3621.25,119771,3594.22094726562
"1408",3635,3674.05004882812,3621.25,3630,165271,3602.90551757812
"1409",3655,3674.69995117188,3622.10009765625,3635.35009765625,224129,3608.2158203125
"1410",3635.89990234375,3750,3635.89990234375,3744.75,287827,3716.79907226562
"1411",3753.19995117188,3770.94995117188,3671.05004882812,3709.44995117188,244362,3681.76245117188
"1412",3700,3748,3664,3675.94995117188,168718,3648.5126953125
"1413",3690.94995117188,3709.85009765625,3635.80004882812,3659.89990234375,119029,3632.58227539062
"1414",3659.85009765625,3694,3616.94995117188,3685.25,62007,3657.7431640625
