"","LTIM.NS.Open","LTIM.NS.High","LTIM.NS.Low","LTIM.NS.Close","LTIM.NS.Volume","LTIM.NS.Adjusted"
"1420",5462,5462,5218.10009765625,5264.89990234375,484805,5180.75146484375
"1421",5265,5303.0498046875,5128,5209.85009765625,481064,5126.5810546875
"1422",5195,5249.85009765625,5137.60009765625,5212.75,255939,5129.4345703125
"1423",5181,5199,5126.64990234375,5186.2001953125,199894,5103.3095703125
"1424",5217.7001953125,5255,5195.35009765625,5226.25,283699,5142.71923828125
"1425",5250,5264.9501953125,5216.75,5239.2001953125,139350,5155.46240234375
"1426",5215.9501953125,5234,5173.5,5206.4501953125,353035,5123.236328125
"1427",5240,5294.25,5212.35009765625,5266.35009765625,172958,5182.1787109375
"1428",5280,5342.9501953125,5230,5244.4501953125,238862,5160.62841796875
"1429",5259.5,5268.39990234375,5136.89990234375,5154.75,307844,5072.36181640625
"1430",5105,5205,5075,5095.14990234375,272672,5013.71435546875
"1431",5118.4501953125,5192,5099,5162.4501953125,244025,5079.939453125
"1432",5192,5230,5176.2001953125,5213.75,313332,5130.41943359375
"1433",5200.10009765625,5205,5037.64990234375,5155.2001953125,333664,5072.80517578125
"1434",5200,5480,5200,5457.7998046875,1808046,5370.568359375
"1435",5461,5513,5390.0498046875,5416.2001953125,548231,5329.63330078125
"1436",5407,5407,5185,5201.75,268286,5118.611328125
"1437",5236.9501953125,5295,5180.9501953125,5204.0498046875,293641,5120.8740234375
"1438",5153,5198.64990234375,5066.60009765625,5170.5,405185,5087.8603515625
"1439",5170,5215,5160,5171,183188,5108.111328125
"1440",5171,5177.7998046875,5083.0498046875,5149.2001953125,276530,5086.576171875
"1441",5164,5164,5051.10009765625,5060.39990234375,259121,4998.8564453125
"1442",5065,5106,4989.0498046875,4998.7001953125,323448,4937.90673828125
"1443",5065.7001953125,5122.35009765625,5006.14990234375,5020.0498046875,312381,4958.99658203125
"1444",5078,5148,5059,5134.9501953125,324952,5072.49951171875
"1445",5174,5178.4501953125,5115,5149.64990234375,155164,5087.0205078125
"1446",5145.4501953125,5209.10009765625,5135,5186.9501953125,200866,5123.8671875
"1447",5190,5240.10009765625,5175.0498046875,5233.39990234375,236117,5169.751953125
"1448",5233.39990234375,5265,5208.5,5254.7001953125,269946,5190.79345703125
