"","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
"203",1853.90002441406,1853.90002441406,1791.09997558594,1799.09997558594,2285970,1615.25622558594
"204",1808.69995117188,1877.94995117188,1784.34997558594,1871,2609483,1679.80920410156
"205",1867,1909.40002441406,1845,1894.80004882812,2404883,1701.17736816406
"206",1900,1943.90002441406,1875.44995117188,1938.15002441406,2769190,1740.09729003906
"207",1943.65002441406,1944.34997558594,1901.30004882812,1935.75,2769759,1737.94250488281
"208",1934.19995117188,1954.59997558594,1905,1913.44995117188,1818635,1717.92126464844
"209",1910,1927.34997558594,1884.75,1890.84997558594,1713366,1697.63098144531
"210",1894,1937.5,1891,1932.69995117188,1398710,1735.2041015625
"211",1940,1949,1937,1942.15002441406,144530,1743.68859863281
"212",1961,1961.94995117188,1905,1909.19995117188,2570479,1714.10583496094
"213",1908.5,1946.09997558594,1908.5,1914.84997558594,2552008,1719.17822265625
"214",1915,1939,1903,1934.94995117188,1418432,1737.22436523438
"215",1925,1929.90002441406,1870,1880.65002441406,2422318,1688.47302246094
"216",1864,1899,1857.59997558594,1872.84997558594,1829123,1681.47045898438
"217",1889,1899.80004882812,1870.25,1886.59997558594,1829729,1693.81518554688
"218",1899,1907.34997558594,1864.30004882812,1902.44995117188,1740628,1708.04504394531
"219",1902,1902,1874.19995117188,1878.25,1190182,1686.318359375
"220",1871,1871.05004882812,1798.55004882812,1812,3840461,1626.83837890625
"221",1820,1847.59997558594,1809.94995117188,1812.55004882812,3194219,1627.33227539062
"222",1819,1860,1784.5,1846.09997558594,4333177,1657.45385742188
"223",1854,1897.90002441406,1835.34997558594,1890.25,3344839,1697.09240722656
"224",1889,1989,1882.5,1983.90002441406,5313249,1781.17248535156
"225",1997,1997,1942.55004882812,1960.55004882812,4035441,1760.208984375
"226",1966,1991,1959.84997558594,1968.25,5268901,1767.12158203125
"227",1984,1990,1968.30004882812,1982.40002441406,1610576,1779.82592773438
"228",1983,2019.40002441406,1971,2010.84997558594,3270615,1805.36840820312
"229",2006,2018,1985,2006.75,2501539,1801.68737792969
"230",1998,2017,1979.59997558594,1992.69995117188,2321216,1789.07312011719
"231",1985.05004882812,2003.90002441406,1973,1995.19995117188,1680420,1791.31762695312
"232",1975,2011,1960,1975.80004882812,2010786,1773.90014648438
"233",1970,2010,1961,2000,2942014,1795.626953125
"234",2001.09997558594,2022,1984.94995117188,2016.80004882812,2219993,1810.71044921875
"235",2024,2029.69995117188,1974.5,1982.59997558594,3748429,1780.00524902344
"236",1983,1998.94995117188,1975.25,1989.75,2473761,1786.42443847656
"237",1999,2004.90002441406,1985,1994.30004882812,1227921,1790.51000976562
"238",1991.90002441406,2002,1976.40002441406,1987.84997558594,1768742,1784.71887207031
"239",1984.80004882812,1984.80004882812,1960.05004882812,1968.44995117188,2498833,1767.30090332031
"240",1953.80004882812,1974.90002441406,1946,1954.05004882812,1940277,1754.37268066406
"241",1948,1950,1886.55004882812,1895.80004882812,3729956,1702.07495117188
"242",1905.80004882812,1938.90002441406,1905,1918.5,1864116,1722.45532226562
"243",1921.80004882812,1921.80004882812,1870.25,1889.19995117188,2446614,1696.1494140625
"244",1909,1941.69995117188,1872.09997558594,1908.94995117188,4968201,1713.88134765625
"245",1915,1920,1893,1896.05004882812,2239130,1702.29968261719
"246",1908,1909,1886.15002441406,1893.05004882812,1879740,1699.60607910156
"247",1896,1910,1885,1902.80004882812,1094883,1708.35961914062
"248",1905,1934.44995117188,1900,1923.30004882812,2100463,1726.76525878906
"249",1919,1944.94995117188,1893.09997558594,1899.94995117188,2611668,1705.80078125
"250",1900,1901.19995117188,1841,1876.84997558594,4280862,1685.0615234375
"251",1891.80004882812,1908.80004882812,1881,1897.90002441406,1856423,1703.96044921875
"252",1905.40002441406,1906.40002441406,1883.30004882812,1893.55004882812,1691756,1700.05505371094
"253",1907.40002441406,1919,1866.69995117188,1886.94995117188,2414376,1694.12927246094
"254",1890,1905,1872.09997558594,1888.55004882812,3053461,1695.56604003906
"255",1870,1875,1835,1842.55004882812,9209862,1654.2666015625
"256",1850,1851,1810,1813.25,3615370,1627.96044921875
"257",1810,1869.34997558594,1808,1867.80004882812,7711653,1676.93640136719
