"","BAJAJFINSV.NS.Open","BAJAJFINSV.NS.High","BAJAJFINSV.NS.Low","BAJAJFINSV.NS.Close","BAJAJFINSV.NS.Volume","BAJAJFINSV.NS.Adjusted"
"78",544.299987792969,549.755004882812,538.125,543.429992675781,1392980,541.835754394531
"79",543.510009765625,547.950012207031,531.52001953125,533.924987792969,1617000,532.358703613281
"80",535.799987792969,546.799987792969,535.799987792969,543.525024414062,871730,541.930603027344
"81",545.900024414062,553.489990234375,540.109985351562,548.260009765625,931480,546.651611328125
"82",548,553.099975585938,539.400024414062,543.690002441406,1043240,542.095092773438
"83",546,547,537,540.205017089844,910650,538.620300292969
"84",540.200012207031,542.309997558594,531.820007324219,534.804992675781,566890,533.236083984375
"85",540,542.984985351562,532.015014648438,540.130004882812,579780,538.545532226562
"86",541,543.900024414062,532,534.070007324219,744720,532.503356933594
"87",534.099975585938,539.400024414062,531.210021972656,534.950012207031,450010,533.380798339844
"88",535.5,538.200012207031,522.5,523.794982910156,871630,522.258422851562
"89",527.5,536.474975585938,525.010009765625,534.544982910156,629420,532.976989746094
"90",534.369995117188,540.5,532.054992675781,538.64501953125,708700,537.064819335938
"91",532,543.929992675781,531.914978027344,539.75,1296930,538.166687011719
"92",535,536.989990234375,530.099975585938,531.919982910156,824530,530.359619140625
"93",537,560.89501953125,528.200012207031,556.924987792969,3930300,555.291198730469
"94",557.89501953125,582.400024414062,546.5,572.97998046875,5890240,571.299133300781
"95",573.5,577.5,562.080017089844,572.205017089844,1630750,570.526489257812
"96",571.5,602,568.215026855469,597.179992675781,4291380,595.428161621094
"97",594.900024414062,596,577,579.005004882812,1623480,577.306457519531
"98",582,587.5,570.369995117188,582.640014648438,1544930,580.930847167969
"99",586.400024414062,609.72998046875,585,607.169982910156,3166080,605.388854980469
"100",608,612.099975585938,598.015014648438,600.934997558594,1513430,599.172119140625
"101",600.934997558594,605.5,586.510009765625,588.784973144531,1176730,587.057800292969
"102",584.864990234375,599.530029296875,581.5,595.885009765625,1979760,594.136962890625
"103",599.5,615.690002441406,593.080017089844,604.224975585938,2647680,602.452453613281
"104",606.900024414062,606.900024414062,585,588.219970703125,1538040,586.494445800781
"105",580.224975585938,591.440002441406,573,574.85498046875,1031830,573.168701171875
"106",577.994995117188,581.799987792969,568.260009765625,577.094970703125,1376320,575.402099609375
"107",580.700012207031,592.989990234375,577.734985351562,591.474975585938,1231560,589.739868164062
"108",593.900024414062,604,590.705017089844,601.424987792969,1471870,599.660766601562
"109",599.780029296875,604.739990234375,592.599975585938,602.549987792969,1836740,600.782348632812
"110",601.5,614.799987792969,599.309997558594,606.89501953125,1481930,605.11474609375
"111",612,612,604.530029296875,607.85498046875,1069110,606.07177734375
"112",607.799987792969,610.799987792969,601.510009765625,607.47998046875,937900,605.697937011719
"113",607,607,599.130004882812,602.799987792969,659100,601.031616210938
"114",602.5,603.325012207031,593.034973144531,597.909973144531,2511270,596.156066894531
"115",596.590026855469,607.325012207031,596.260009765625,599.575012207031,976770,597.816223144531
"116",597.5,599.174987792969,590.099975585938,591.320007324219,1246850,589.585388183594
"117",593.695007324219,596.989990234375,590.85498046875,594.755004882812,1493340,593.01025390625
"118",595.900024414062,603.400024414062,595.059997558594,599.155029296875,2296230,597.397399902344
"119",599.955017089844,619,599.099975585938,617.650024414062,2425970,615.838134765625
"120",620,629.359985351562,614.599975585938,616.565002441406,2624200,614.75634765625
"121",617.489990234375,620.75,606.099975585938,608.434997558594,1649960,606.650146484375
"122",608.900024414062,611.900024414062,594,597.510009765625,1204210,595.757202148438
"123",598,598,576.005004882812,584.799987792969,2121760,583.08447265625
