"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"297",982.450012207031,982.450012207031,957,958.5,265217,827.2607421875
"298",960,993.900024414062,954.400024414062,987.650024414062,311800,852.419494628906
"299",992.900024414062,1005.65002441406,968,970.450012207031,166565,837.574523925781
"300",975.400024414062,990.950012207031,961,978.599975585938,256597,844.608581542969
"301",982.049987792969,993,980,986.700012207031,217489,851.599548339844
"302",979.700012207031,1001,936.450012207031,975.849975585938,285338,842.235168457031
"303",975.849975585938,975.849975585938,946,950.200012207031,166240,820.097229003906
"304",952,961.950012207031,940.099975585938,952.650024414062,142163,822.211730957031
"305",952.900024414062,955.700012207031,937,950.599975585938,215002,820.442443847656
"306",946,977.150024414062,940.5,965.299987792969,373114,833.129638671875
"307",997.25,1017.40002441406,975.25,986.75,141374,851.642761230469
"308",988,1004,975.099975585938,991.5,117728,855.742309570312
"309",995,995.099975585938,974.099975585938,978.200012207031,83712,844.263366699219
"310",984.900024414062,984.900024414062,961.049987792969,978.299987792969,150903,844.349670410156
"311",982,985,970.099975585938,975.349975585938,186856,841.803588867188
"312",976,981,965.099975585938,976.650024414062,483473,842.925598144531
"313",979.75,992,968,986.299987792969,271133,851.254272460938
"314",980.299987792969,998.799987792969,968,995.700012207031,266092,859.3671875
"315",989.700012207031,1015,986,1011.29998779297,315339,872.831237792969
"316",1013.04998779297,1014.34997558594,985.299987792969,991.200012207031,160330,855.4833984375
"317",998.849975585938,1003.75,977.200012207031,994.549987792969,262311,858.374694824219
"318",993.200012207031,993.200012207031,977,980.650024414062,108353,846.3779296875
"319",982,984.849975585938,971.099975585938,978.650024414062,131209,844.651794433594
"320",978,985.049987792969,972.150024414062,983,59539,848.406188964844
"321",983,985.799987792969,961.049987792969,964.349975585938,182370,832.309753417969
"322",969.650024414062,973,960.5,966,60014,833.73388671875
"323",971.950012207031,971.950012207031,950,952.549987792969,87048,822.125427246094
"324",959,967.799987792969,950.549987792969,959.400024414062,102093,828.037536621094
"325",959.599975585938,981.450012207031,951.349975585938,969.400024414062,195756,836.668273925781
"326",972.700012207031,987.799987792969,963.049987792969,982,280825,847.543029785156
"327",981.099975585938,981.950012207031,962.400024414062,972,113515,838.912292480469
"328",970,976,953.299987792969,969.700012207031,99845,836.927185058594
"329",966.450012207031,975.549987792969,961.099975585938,965.299987792969,63147,833.129638671875
"330",960.25,967.599975585938,950,952.75,80468,822.298095703125
"331",952,952,930,946.150024414062,440498,816.601684570312
"332",940,955.5,938.099975585938,950.5,190930,820.356079101562
"333",950.5,954,944.650024414062,951,133363,820.787658691406
"334",956.5,967.700012207031,949,963.5,125428,831.576171875
"335",957.099975585938,969.599975585938,953.799987792969,958.900024414062,544462,827.60595703125
"336",953.5,959.349975585938,935.049987792969,948.25,141863,818.414245605469
"337",946.849975585938,954.349975585938,932.049987792969,945.799987792969,97658,816.299682617188
"338",952,954,918.150024414062,945.400024414062,194289,815.954406738281
"339",945,947.950012207031,936.400024414062,943.200012207031,107358,814.0556640625
"340",947.700012207031,969.900024414062,917.549987792969,963.099975585938,240898,831.230834960938
"341",965,971.349975585938,940.099975585938,967.849975585938,154765,835.330444335938
"342",962,962.5,920.049987792969,949.799987792969,408768,819.752014160156
