"","DEEPAKNTR.NS.Open","DEEPAKNTR.NS.High","DEEPAKNTR.NS.Low","DEEPAKNTR.NS.Close","DEEPAKNTR.NS.Volume","DEEPAKNTR.NS.Adjusted"
"35",263,268.350006103516,257,258.950012207031,111201,250.492416381836
"36",262.350006103516,263.899993896484,255.5,257.600006103516,65191,249.186462402344
"37",256.950012207031,258,250.5,251.399993896484,103589,243.18896484375
"38",254.25,259.5,251.350006103516,257.25,121128,248.847900390625
"39",259,262,258.25,260.200012207031,101708,251.701568603516
"40",261.350006103516,263.399993896484,259.149993896484,260.100006103516,145720,251.604797363281
"41",258,263.299987792969,255.149993896484,260.75,180318,252.233612060547
"42",258,263,257.549987792969,259.899993896484,130396,251.411361694336
"43",258.600006103516,261.200012207031,234.5,257.149993896484,163377,248.751159667969
"44",258.350006103516,262,256,259.899993896484,277077,251.411361694336
"45",260,260,235,241.5,376148,233.612319946289
"46",243.649993896484,245.800003051758,228,235.550003051758,379604,227.856658935547
"47",236.5,242.399993896484,235.050003051758,237.149993896484,132460,229.404388427734
"48",239.5,243.800003051758,230.199996948242,235.949996948242,243245,228.243560791016
"49",233.550003051758,242.850006103516,233.550003051758,241.5,172837,233.612319946289
"50",241.899993896484,247,240.100006103516,243.949996948242,168428,235.982299804688
"51",244.899993896484,257.399993896484,243.050003051758,255.300003051758,198344,246.961578369141
"52",255,261.399993896484,252.550003051758,255.5,146847,247.155075073242
