"","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
"534",138.949996948242,140.649993896484,136.5,139.949996948242,4106501,133.808242797852
"535",140.649993896484,142.649993896484,138.649993896484,139.25,3841282,133.13899230957
"536",135,136.5,131.25,135.300003051758,4712533,129.362335205078
"537",132.649993896484,133,125.349998474121,126.75,3080610,121.187545776367
"538",126.400001525879,127.349998474121,114.099998474121,115,9175920,109.953201293945
"539",104,107.949996948242,96.6999969482422,100.150001525879,11277411,95.7548980712891
"540",90.1500015258789,105.199996948242,88,104.150001525879,5393170,99.5793609619141
"541",101.699996948242,102.300003051758,96.6999969482422,97.5999984741211,4868451,93.3168029785156
"542",97,101.5,92.5,93.5999984741211,3631634,89.4923400878906
"543",96.8000030517578,97.6999969482422,88,89.4000015258789,4289406,85.4766693115234
"544",86,91.3499984741211,83.6500015258789,86.1999969482422,4347529,82.4170913696289
"545",87.1500015258789,92.75,84.75,88.8499984741211,6206312,84.9507904052734
"546",83,83.9000015258789,75.8000030517578,76.4499969482422,1468284,73.094970703125
"547",77,81.1999969482422,73.4000015258789,78.5500030517578,2703847,75.1028137207031
"548",75,82.6500015258789,74.9499969482422,80.8499984741211,2569825,77.301872253418
"549",82,86.75,79.3000030517578,82.4000015258789,4185024,78.7838592529297
"550",84,85.9000015258789,78.8000030517578,82.5999984741211,4871255,78.9750823974609
"551",79,83.3000030517578,77,81.5999984741211,3774005,78.0189666748047
"552",82.8499984741211,82.8499984741211,78.5999984741211,79.4000015258789,5591330,75.9155120849609
"553",79.4000015258789,79.75,76.8000030517578,77.9000015258789,4214918,74.4813461303711
"554",79.5,79.5,76.4499969482422,78.4499969482422,3753970,75.0072021484375
"555",80.5,84.1999969482422,79.5999984741211,83.5,2423064,79.8355865478516
"556",83.5,87.1500015258789,82,83.4000015258789,2950330,79.7399826049805
"557",84.9000015258789,90.8000030517578,84.5,89.8000030517578,8140116,85.8591079711914
"558",92.6999969482422,92.6999969482422,85.0500030517578,85.8000030517578,9360098,82.0346450805664
"559",87.5,89.9000015258789,86,88.1500015258789,6059059,84.2815246582031
"560",88.75,96,88.6999969482422,94,15986544,89.8747863769531
"561",98,99.5,95,98.1999969482422,8133307,93.8904647827148
"562",101,101.699996948242,95.5999984741211,97.3499984741211,7370269,93.077766418457
"563",95.5,95.5,91.25,91.9499969482422,3326345,87.9147491455078
"564",91.0999984741211,95.3499984741211,89.9499969482422,94.3499984741211,6239068,90.2094192504883
"565",94.3499984741211,96.25,92.8499984741211,93.25,3973978,89.1576995849609
"566",93,93.5,89.5500030517578,89.9499969482422,2644087,86.0025253295898
"567",91,92.4499969482422,89.1500015258789,89.6999969482422,3489864,85.7634887695312
"568",90.9000015258789,92.4000015258789,89.1999969482422,89.5,3697617,85.572265625
"569",89.9000015258789,96.8000030517578,89.3000030517578,95.6500015258789,10775893,91.4523773193359
"570",97.5,103.300003051758,95.75,96.3000030517578,17847572,92.073844909668
"571",93.5,93.5,87.0999984741211,88.75,6908434,84.8551940917969
"572",93.3499984741211,93.3499984741211,84.1500015258789,85.6999969482422,9057721,81.9390335083008
"573",84,88.4000015258789,81.0500030517578,87.0999984741211,12267391,83.2775955200195
"574",86,90.5,85.3499984741211,89.6500015258789,11792998,85.715690612793
"575",91.4000015258789,92.9000015258789,88.8000030517578,90.0999984741211,9165912,86.1459426879883
"576",91.1999969482422,94.3499984741211,90.5999984741211,93.0999984741211,9497627,89.0142822265625
"577",92.9000015258789,92.9000015258789,88,90.9499969482422,8357476,86.9586410522461
"578",96.5,96.5,92.1500015258789,94.4000015258789,7702772,90.2572402954102
"579",91.9000015258789,94.6999969482422,91.25,92.5999984741211,3816587,88.5362319946289
"580",92.4499969482422,93.1999969482422,90.5500030517578,91.6999969482422,7108760,87.6757202148438
"581",92.5,93.6500015258789,89.6999969482422,91.6500015258789,12292578,87.6279220581055
"582",93.5,95.9000015258789,90.0500030517578,91.8000030517578,13987954,87.7713394165039
"583",93.5,94.4000015258789,89,90.3499984741211,19650762,86.3849716186523
"584",91,93,90,91.8499984741211,9861690,87.8191299438477
"585",91.5,93,89.8499984741211,90.3499984741211,6964251,86.3849716186523
"586",91.6999969482422,93,90.5,92.3499984741211,5790587,88.2971954345703
"587",93,95.5500030517578,91.6999969482422,94.8499984741211,7712369,90.6874771118164
"588",95.5,98.4499969482422,94.4499969482422,98.0500030517578,11130922,93.7470550537109
"589",98.3499984741211,100.800003051758,96.0999984741211,97.0999984741211,14775918,92.838737487793
"590",99.1999969482422,105.449996948242,98.5500030517578,104.75,16650086,100.153022766113
"591",105.650001525879,106.550003051758,102.400001525879,103.949996948242,13347583,99.3881301879883
"592",104.900001525879,109.75,104.5,107.150001525879,13936450,102.447700500488
"593",107.099998474121,107.800003051758,101.800003051758,102.699996948242,11501574,98.1929779052734
"594",104.849998474121,105.25,102.5,104.699996948242,12380783,100.105209350586
"595",106.849998474121,109.5,105.550003051758,106.349998474121,14654121,101.682807922363
"596",106.949996948242,108.300003051758,104.150001525879,104.75,9941692,100.153022766113
"597",104.400001525879,106.5,103.650001525879,105.650001525879,6352190,101.013526916504
"598",106.849998474121,109.199996948242,104.25,105,9369782,100.392044067383
"599",97.5,107.800003051758,97.5,106.650001525879,9441933,101.96964263916
"600",110,112.599998474121,106.099998474121,106.900001525879,18246753,102.20866394043
"601",108.25,109.75,104.150001525879,105.800003051758,8764250,101.156944274902
"602",105.099998474121,107.75,104.5,105.349998474121,8699400,100.726684570312
"603",105.699996948242,106.650001525879,104.800003051758,106.050003051758,6091628,101.395973205566
