"","JKCEMENT.NS.Open","JKCEMENT.NS.High","JKCEMENT.NS.Low","JKCEMENT.NS.Close","JKCEMENT.NS.Volume","JKCEMENT.NS.Adjusted"
"1341",3230,3324,3225,3242.85009765625,517120,3216.51293945312
"1342",3264,3290.94995117188,3200,3283.10009765625,130968,3256.43627929688
"1343",3299,3302.94995117188,3223.75,3240.85009765625,121737,3214.52905273438
"1344",3266,3298,3214.80004882812,3227.35009765625,90526,3201.13891601562
"1345",3248.10009765625,3269.94995117188,3182.39990234375,3261.94995117188,66226,3235.45776367188
"1346",3290,3300,3267.25,3293.25,112186,3266.50341796875
"1347",3293.25,3343.75,3291.05004882812,3326.35009765625,152448,3299.33471679688
"1348",3332.94995117188,3360,3326.5,3343.89990234375,181974,3316.7421875
"1349",3354.94995117188,3392,3343.89990234375,3364.5,154709,3337.17504882812
"1350",3382,3438,3355.10009765625,3371.89990234375,111022,3344.51489257812
"1351",3382.89990234375,3414.80004882812,3342.05004882812,3362.55004882812,114382,3335.24072265625
"1352",3370,3450,3370,3411.05004882812,93310,3383.34692382812
"1353",3422.69995117188,3445,3380,3405.75,109700,3378.09008789062
"1354",3404,3404,3333,3360.10009765625,83000,3332.81079101562
"1355",3350,3436.5,3309.55004882812,3425.89990234375,90161,3398.076171875
"1356",3439.89990234375,3453.05004882812,3412.05004882812,3424.64990234375,126047,3396.83642578125
"1357",3395,3466.30004882812,3395,3428.94995117188,87633,3401.10131835938
"1358",3402.39990234375,3457.80004882812,3368.30004882812,3381.89990234375,73822,3354.43359375
"1359",3371,3432,3335,3349.30004882812,45436,3322.09838867188
"1360",3382.35009765625,3384,3312.25,3330.19995117188,29375,3303.1533203125
"1361",3310.05004882812,3360,3286.14990234375,3314.89990234375,31785,3287.9775390625
"1362",3300,3321.94995117188,3285,3290.14990234375,60341,3263.4287109375
"1363",3307.44995117188,3343.85009765625,3267.30004882812,3290.35009765625,101126,3263.62719726562
"1364",3284,3340,3276.10009765625,3321.44995117188,30064,3294.47436523438
"1365",3335,3366,3305,3351.80004882812,30521,3324.578125
"1366",3360.25,3375,3312,3337.44995117188,97503,3310.34448242188
"1367",3350,3359.89990234375,3293.14990234375,3306.44995117188,81743,3279.59643554688
"1368",3306.44995117188,3343,3270.85009765625,3288.05004882812,69978,3261.34594726562
"1369",3290.05004882812,3365.94995117188,3290.05004882812,3356.89990234375,41823,3329.63647460938
"1370",3366.39990234375,3366.39990234375,3275.80004882812,3295.25,46133,3268.4873046875
"1371",3299.80004882812,3312,3270.05004882812,3281.39990234375,42566,3254.74975585938
"1372",3281.39990234375,3291.69995117188,3200.14990234375,3211,55588,3184.92163085938
"1373",3222.80004882812,3222.80004882812,3140,3185.5,73058,3159.62866210938
"1374",3185.5,3198.44995117188,3141.44995117188,3147.89990234375,73118,3122.33374023438
"1375",3147.89990234375,3278.5,3139.94995117188,3249.10009765625,165269,3222.71240234375
"1376",3255,3271.44995117188,3208.10009765625,3217,33545,3190.87280273438
"1377",3237.10009765625,3270,3187.10009765625,3198.35009765625,74970,3172.37451171875
"1378",3215.19995117188,3261.94995117188,3181,3252.5,95748,3226.08447265625
"1379",3272.30004882812,3297.60009765625,3255.10009765625,3274.64990234375,99437,3248.05444335938
"1380",3276.30004882812,3281,3208.35009765625,3257.35009765625,64229,3245.76293945312
"1381",3255,3274.44995117188,3184.05004882812,3202.5,40687,3191.10791015625
"1382",3202.39990234375,3214.30004882812,3161.64990234375,3201.10009765625,38506,3189.712890625
"1383",3201.10009765625,3229.89990234375,3165.10009765625,3209.25,180302,3197.83374023438
"1384",3222,3253.89990234375,3181,3242.39990234375,62643,3230.86572265625
"1385",3246,3300,3230.25,3282.80004882812,71306,3271.12231445312
"1386",3310.64990234375,3412,3288,3371.05004882812,290243,3359.05834960938
"1387",3371.05004882812,3388.80004882812,3314.35009765625,3336.25,49879,3324.38208007812
"1388",3316,3370.39990234375,3205.10009765625,3252.10009765625,245430,3240.53149414062
"1389",3240,3350.30004882812,3101.30004882812,3141.64990234375,249400,3130.47412109375
"1390",3135,3144.94995117188,3060,3135.5,136651,3124.34619140625
"1391",3138,3140,3040,3051.30004882812,105276,3040.44580078125
"1392",3051.94995117188,3086.5,3030.25,3076.94995117188,229426,3066.00439453125
"1393",3099.14990234375,3105,3061.39990234375,3093.89990234375,115577,3082.89404296875
"1394",3100,3136.69995117188,3075.75,3116.85009765625,116494,3105.7626953125
"1395",3140,3140,3085,3094.10009765625,67777,3083.09350585938
"1396",3120,3183.75,3082.80004882812,3142.14990234375,225520,3130.97241210938
"1397",3144.35009765625,3187.89990234375,3105,3176,83399,3164.7021484375
"1398",3177.94995117188,3210,3152.10009765625,3181.19995117188,79454,3169.88354492188
"1399",3190,3248.64990234375,3185.10009765625,3194.05004882812,137064,3182.68798828125
"1400",3201.5,3306.55004882812,3201.10009765625,3292.25,109754,3280.53857421875
"1401",3272,3330,3272,3295.69995117188,279969,3283.97631835938
"1402",3307.25,3364.75,3306.19995117188,3341,170901,3329.115234375
"1403",3345,3377.85009765625,3314.64990234375,3325.25,167043,3313.42114257812
"1404",3365.05004882812,3455.94995117188,3325.35009765625,3421.39990234375,199435,3409.22900390625
"1405",3421.39990234375,3476.39990234375,3380,3406.35009765625,110683,3394.23291015625
"1406",3403.94995117188,3424.30004882812,3321.10009765625,3330.69995117188,113823,3318.85180664062
"1407",3352.85009765625,3352.85009765625,3293.55004882812,3303.85009765625,83415,3292.09741210938
"1408",3310,3338.30004882812,3273.39990234375,3305.80004882812,108008,3294.04052734375
"1409",3310,3357.44995117188,3230,3245.19995117188,86467,3233.65600585938
"1410",3244,3303.44995117188,3206.44995117188,3293.39990234375,90348,3281.68432617188
"1411",3285.05004882812,3360,3278.94995117188,3318.35009765625,94371,3306.5458984375
"1412",3325,3346.69995117188,3267,3276.80004882812,46803,3265.1435546875
"1413",3300,3334,3280.05004882812,3319.80004882812,149860,3307.99072265625
"1414",3320,3320.05004882812,3183.05004882812,3218.60009765625,153726,3207.15063476562
"1415",3218,3247.69995117188,3185.05004882812,3209,101584,3197.58471679688
"1416",3210.05004882812,3213.94995117188,3140.5,3155.89990234375,55344,3144.67358398438
"1417",3155.14990234375,3159.94995117188,3106.35009765625,3144.14990234375,106152,3132.96533203125
"1418",3143,3203.5,3135.30004882812,3156.89990234375,79704,3145.669921875
"1419",3144,3214.94995117188,3144,3204.89990234375,84599,3193.49926757812
"1420",3204.89990234375,3215.25,3130.55004882812,3145.30004882812,66111,3134.111328125
"1421",3145,3203.05004882812,3139.05004882812,3179.44995117188,34846,3168.13989257812
"1422",3196.14990234375,3206.94995117188,3159.44995117188,3192.55004882812,35845,3181.193359375
