"","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
"391",1208.65002441406,1269.40002441406,1186.09997558594,1256.69995117188,1054407,1229.80932617188
"392",1249,1277.75,1240.34997558594,1273,1115406,1245.76037597656
"393",1269.80004882812,1323.69995117188,1267.09997558594,1308.69995117188,1783908,1280.69665527344
"394",1320,1320.84997558594,1284.40002441406,1289.90002441406,1043113,1262.29895019531
"395",1296.65002441406,1333,1286,1328.84997558594,883898,1300.41552734375
"396",1338.90002441406,1358.65002441406,1334.30004882812,1351.75,964952,1322.82543945312
"397",1349,1371,1337.30004882812,1344.09997558594,733999,1315.33911132812
"398",1349,1359.90002441406,1331.19995117188,1347.19995117188,532645,1318.37268066406
"399",1355,1373,1340,1369.44995117188,457314,1340.146484375
"400",1370,1384,1355.84997558594,1369.09997558594,515584,1339.80407714844
"401",1370,1383.94995117188,1360.84997558594,1371.19995117188,710199,1341.85925292969
"402",1372,1377.94995117188,1361,1366.30004882812,329601,1337.06420898438
"403",1369.30004882812,1369.34997558594,1345.55004882812,1361.34997558594,391405,1332.22009277344
"404",1359.94995117188,1374,1355.05004882812,1359.69995117188,337283,1330.60522460938
"405",1370,1389.69995117188,1347,1386.34997558594,327470,1356.68505859375
"406",1390,1400,1369.25,1371.84997558594,716166,1342.49536132812
"407",1376,1388,1363.15002441406,1378.34997558594,423936,1348.85632324219
"408",1372.94995117188,1385,1358.34997558594,1374.15002441406,400836,1344.74621582031
"409",1377.94995117188,1382.5,1364.80004882812,1377.69995117188,427560,1348.22009277344
"410",1376.90002441406,1381.65002441406,1345.05004882812,1348.65002441406,328575,1319.79174804688
"411",1351.94995117188,1364.19995117188,1335.05004882812,1360.65002441406,391782,1331.53503417969
"412",1361.94995117188,1372.94995117188,1356.05004882812,1369.34997558594,291419,1340.048828125
"413",1370.09997558594,1376.84997558594,1359.34997558594,1372.15002441406,182002,1342.78894042969
"414",1374,1380.5,1366.09997558594,1374.69995117188,210738,1345.28430175781
"415",1379,1382.94995117188,1366,1374.90002441406,386590,1345.48010253906
"416",1374,1388.65002441406,1365.09997558594,1371.44995117188,447645,1342.10388183594
"417",1374.90002441406,1381,1365.59997558594,1377.5,374292,1348.02453613281
"418",1364,1365,1335.65002441406,1359.15002441406,513106,1330.06726074219
"419",1356.40002441406,1356.40002441406,1316,1322.30004882812,730346,1294.00573730469
"420",1307.19995117188,1325.5,1292,1309.75,1262241,1281.72412109375
"421",1305,1311.80004882812,1292.05004882812,1294.55004882812,298617,1266.849609375
"422",1300,1422,1288,1408.75,1553642,1378.60571289062
"423",1435,1492,1430,1481.34997558594,947082,1449.65209960938
"424",1492.69995117188,1493.5,1450.80004882812,1456.80004882812,454330,1425.62768554688
"425",1456.80004882812,1456.80004882812,1411.09997558594,1438.69995117188,352260,1407.91479492188
"426",1442.19995117188,1461.80004882812,1437.90002441406,1454.09997558594,392306,1422.9853515625
"427",1449.90002441406,1489.80004882812,1440.44995117188,1476.80004882812,538268,1445.19970703125
"428",1477,1477,1431.09997558594,1443.75,426995,1412.85681152344
"429",1450.25,1467.25,1427.25,1439.25,424063,1408.453125
"430",1444.90002441406,1447.90002441406,1377.55004882812,1393.15002441406,435985,1363.33972167969
"431",1393.94995117188,1398.30004882812,1364,1367.84997558594,503733,1338.58093261719
"432",1368,1378.30004882812,1353.09997558594,1366,212755,1336.7705078125
"433",1371.80004882812,1376,1334,1336.55004882812,1136102,1307.95068359375
"434",1336,1369.44995117188,1323,1358.84997558594,609318,1329.77355957031
"435",1364.15002441406,1382,1361.19995117188,1365.90002441406,372552,1336.67272949219
"436",1370.05004882812,1384.80004882812,1359,1362.25,371171,1333.10083007812
"437",1369,1389.55004882812,1351.55004882812,1379.25,399563,1349.73693847656
"438",1380,1384.90002441406,1358.05004882812,1360.90002441406,562026,1331.77966308594
"439",1361,1374.84997558594,1353,1357.19995117188,1002807,1328.15881347656
"440",1360,1378,1344,1351.5,826406,1322.58081054688
"441",1360.5,1382,1344.05004882812,1350.19995117188,1264508,1321.30859375
"442",1358.65002441406,1362.40002441406,1321,1325.25,803210,1296.892578125
"443",1335,1367.94995117188,1331.5,1362.80004882812,544438,1333.63916015625
"444",1368.90002441406,1379.90002441406,1333,1338.75,957873,1310.103515625
"445",1350,1354.90002441406,1345.44995117188,1351,80658,1322.09155273438
"446",1358,1366.5,1351.19995117188,1360.65002441406,667979,1331.53503417969
"447",1374,1374,1349.19995117188,1365.19995117188,532190,1335.98754882812
"448",1366.55004882812,1414,1366.55004882812,1401.59997558594,1316249,1371.60852050781
"449",1409,1424.44995117188,1393.09997558594,1397.94995117188,695464,1368.03686523438
"450",1408,1408,1385,1399.44995117188,461969,1369.50476074219
"451",1405,1405,1377,1388.80004882812,425650,1359.08288574219
"452",1396.80004882812,1397.40002441406,1368.59997558594,1371.09997558594,485868,1341.76123046875
"453",1380,1385.84997558594,1366.40002441406,1382.59997558594,331074,1353.01513671875
"454",1382.09997558594,1388.69995117188,1345.5,1354.15002441406,422960,1325.17407226562
"455",1360,1361.05004882812,1318,1321.09997558594,540826,1292.83117675781
"456",1321,1346.40002441406,1314.59997558594,1324,1386806,1295.66931152344
"457",1318,1349.90002441406,1307.75,1344.40002441406,1435858,1315.6328125
"458",1345,1345,1314.34997558594,1316.65002441406,699645,1288.47668457031
"459",1319.44995117188,1322.94995117188,1301,1305.25,563361,1277.32055664062
"460",1305,1306,1288,1298.15002441406,694313,1270.37231445312
"461",1300.09997558594,1333,1300.09997558594,1328.09997558594,867482,1299.68139648438
"462",1330.55004882812,1334.5,1296,1299.75,494379,1271.93811035156
"463",1303,1316.44995117188,1288.44995117188,1297.90002441406,415673,1270.12768554688
"464",1305.90002441406,1306.09997558594,1278,1300.34997558594,633584,1272.52526855469
"465",1303,1324.19995117188,1295.15002441406,1305.59997558594,1030141,1277.66284179688
"466",1313.69995117188,1321.80004882812,1306,1313.25,365347,1285.14929199219
"467",1313.25,1327.5,1304.65002441406,1310.59997558594,619223,1282.55578613281
"468",1312,1320,1300,1303,289052,1275.11853027344
"469",1310,1324.84997558594,1290,1320.25,488429,1291.99938964844
"470",1325.40002441406,1331,1315.55004882812,1321.59997558594,416328,1293.32043457031
"471",1320,1327.94995117188,1313.15002441406,1320.34997558594,237371,1292.09741210938
"472",1319.90002441406,1325,1307.55004882812,1310.94995117188,310467,1282.89831542969
"473",1312.90002441406,1338,1308.15002441406,1315.69995117188,639145,1287.54675292969
"474",1318.90002441406,1335,1314,1327.09997558594,345045,1298.70288085938
"475",1327.34997558594,1331.80004882812,1317.5,1319.55004882812,231499,1291.314453125
"476",1320.94995117188,1333,1320.09997558594,1330.34997558594,178858,1301.88342285156
"477",1330,1340,1323.65002441406,1331.05004882812,349820,1302.568359375
"478",1337.90002441406,1337.90002441406,1318.69995117188,1324.44995117188,287140,1296.10949707031
"479",1324.44995117188,1335.40002441406,1312.75,1315.25,209369,1287.1064453125
"480",1320.90002441406,1331.15002441406,1308,1327.55004882812,323935,1299.14331054688
"481",1328.80004882812,1373,1327.75,1364.69995117188,993482,1335.49841308594
"482",1369.90002441406,1384,1367,1376.80004882812,1005159,1347.33959960938
"483",1377.09997558594,1385.19995117188,1374,1377.55004882812,558189,1348.07348632812
"484",1376,1386.69995117188,1361.65002441406,1377.09997558594,244310,1347.63305664062
"485",1380,1387.84997558594,1365,1376.90002441406,222884,1347.43737792969
"486",1384.09997558594,1396,1377,1390.09997558594,577261,1360.35473632812
"487",1398,1406.19995117188,1390.5,1398.25,454312,1368.33044433594
"488",1402,1409.40002441406,1395.05004882812,1406.65002441406,216539,1376.55065917969
"489",1400.94995117188,1406.84997558594,1385.15002441406,1386.90002441406,274758,1357.22326660156
"490",1388.05004882812,1412,1387,1405.34997558594,252523,1375.27856445312
"491",1405,1411,1395.5,1399.05004882812,206412,1369.11340332031
"492",1395.5,1402.90002441406,1391.55004882812,1397.65002441406,243932,1367.74328613281
"493",1387.34997558594,1394.90002441406,1381.94995117188,1387.69995117188,789499,1358.00610351562
"494",1390.09997558594,1431.84997558594,1390,1399.69995117188,863685,1369.74938964844
"495",1392.09997558594,1407.30004882812,1389,1403.55004882812,259791,1373.51708984375
"496",1410.55004882812,1425.44995117188,1407.09997558594,1414.40002441406,510894,1384.13488769531
"497",1420,1432.84997558594,1409.15002441406,1415.15002441406,2584478,1384.86889648438
"498",1419.90002441406,1434.40002441406,1415.09997558594,1425.5,297267,1394.99731445312
"499",1425.5,1431.69995117188,1417,1427.19995117188,285820,1396.66088867188
"500",1426.80004882812,1438.69995117188,1415.09997558594,1432.05004882812,392459,1401.40710449219
"501",1431.25,1456,1430.05004882812,1452.65002441406,569179,1421.56640625
"502",1453.5,1455.19995117188,1434.19995117188,1447.84997558594,489591,1416.869140625
"503",1450,1465,1438.19995117188,1440.40002441406,326309,1409.57849121094
"504",1439.25,1440,1412.5,1414.75,235201,1384.47729492188
"505",1423.65002441406,1444.94995117188,1418.80004882812,1428.55004882812,348810,1397.98205566406
"506",1429.05004882812,1447,1420,1444.40002441406,208565,1413.49304199219
"507",1440,1461.5,1436.09997558594,1457.59997558594,501998,1426.41040039062
"508",1458.19995117188,1481.69995117188,1451,1476.69995117188,767088,1445.10168457031
"509",1474,1479.09997558594,1452.09997558594,1461.59997558594,306007,1430.32495117188
"510",1466.19995117188,1509.90002441406,1466.19995117188,1496.69995117188,634978,1464.67370605469
"511",1535,1545,1495,1520.84997558594,2558856,1488.30700683594
"512",1529.80004882812,1538,1505.25,1512.05004882812,769665,1479.6953125
"513",1485.5,1574.40002441406,1485.5,1563.84997558594,1152095,1530.38684082031
"514",1570,1574,1545.90002441406,1557,602331,1523.68334960938
"515",1558.65002441406,1562,1542.09997558594,1550.94995117188,453158,1517.76293945312
"516",1551.30004882812,1558.75,1523.5,1550.40002441406,734417,1517.22473144531
"517",1541,1579.90002441406,1541,1558.90002441406,532132,1525.54296875
"518",1558.90002441406,1581.80004882812,1547,1575.94995117188,400881,1542.22802734375
"519",1586,1599,1574.05004882812,1583.34997558594,553412,1549.4697265625
"520",1583.34997558594,1598,1580.40002441406,1589.25,330061,1555.24340820312
"521",1590,1593,1575.09997558594,1578,245969,1544.23413085938
"522",1582.09997558594,1607,1578.59997558594,1583.34997558594,492096,1549.4697265625
"523",1582.09997558594,1606,1575.09997558594,1578.40002441406,361953,1544.62573242188
"524",1605,1605,1567.5,1579.84997558594,372394,1546.04455566406
"525",1582.90002441406,1598.80004882812,1576.59997558594,1593.75,230133,1559.64721679688
"526",1590.09997558594,1597.80004882812,1571.69995117188,1575.30004882812,269015,1541.59191894531
"527",1576,1583.94995117188,1551.5,1555.5,292191,1522.21557617188
"528",1550.09997558594,1577,1550.09997558594,1556.15002441406,306941,1522.85168457031
"529",1550,1562.94995117188,1526.19995117188,1535.69995117188,333649,1502.83923339844
"530",1536,1563.80004882812,1525,1553.05004882812,694155,1519.81811523438
"531",1550,1550,1495.59997558594,1513.09997558594,870565,1480.72302246094
"532",1530,1560,1511.09997558594,1532.75,512147,1499.95239257812
"533",1533.09997558594,1554.94995117188,1517.05004882812,1538.59997558594,421051,1505.67712402344
"534",1540.09997558594,1587,1533.55004882812,1581.84997558594,1637076,1548.00170898438
"535",1608,1645,1592.09997558594,1629.69995117188,1515933,1594.82788085938
"536",1569.09997558594,1661.19995117188,1569.09997558594,1653.80004882812,1594839,1618.41223144531
"537",1669,1690,1608.09997558594,1639.44995117188,1681937,1604.36926269531
"538",1622.25,1709.90002441406,1620.94995117188,1699.75,1821510,1663.37902832031
"539",1670.09997558594,1675,1586.75,1592.15002441406,1831680,1558.08142089844
"540",1475,1569.19995117188,1355.05004882812,1523.80004882812,2482364,1497.77905273438
"541",1502,1515,1457.80004882812,1480.59997558594,1162178,1455.31677246094
"542",1474.69995117188,1592,1469.80004882812,1558.94995117188,1379567,1532.32873535156
"543",1565.05004882812,1597.94995117188,1475,1496.30004882812,1335137,1470.74877929688
"544",1440.30004882812,1497.90002441406,1328,1445.69995117188,1545810,1421.01257324219
"545",1459,1543.94995117188,1423.09997558594,1501.55004882812,998248,1475.90905761719
"546",1356,1463,1214,1271.19995117188,1000416,1249.49255371094
"547",1258.5,1349.69995117188,1234.09997558594,1275.09997558594,901892,1253.32604980469
"548",1265,1316.30004882812,1185.55004882812,1271.09997558594,1056197,1249.39416503906
